Cell lines	600MPE	AU565	BT20	BT474	BT483	BT549	CAMA1	HBL100	HCC1143	HCC1187	HCC1428	HCC1569	HCC1937	HCC1954	HCC202	HCC2185	HCC3153	HCC38	HCC70	HS578T	LY2	MCF7	MDAMB134VI	MDAMB157	MDAMB175VII	MDAMB231	MDAMB361	MDAMB415	MDAMB453	SKBR3	SUM1315MO2	SUM149PT	SUM159PT	SUM185PE	SUM225CWN	SUM52PE	T47D	ZR751
Meth__cg03698393__HAPLN3	0.79335	0.05615	0.96692	0.89057	0.91525	0.061785	0.91627	0.071245	0.51816	0.033535	0.90386	0.30202	0.19205	0.85501	0.062557	0.041688	0.093175	0.035821	0.6847	0.036875	0.92575	0.90665	0.33423	0.4844	0.44196	0.060245	0.89874	0.099755	0.9258	0.065798	0.16299	0.034869	0.027255	0.61049	0.27284	0.86925	0.49604	0.80404
Meth__cg01795122__EMP3	0.56532	0.56387	0.91658	0.84134	0.17067	0.021983	0.88119	0.014154	0.037107	0.060973	0.79146	0.9192	0.39332	0.89016	0.55078	0.31491	0.57514	0.022753	0.24216	0.017227	0.79435	0.89459	0.87882	0.025554	0.905	0.050387	0.87359	0.10945	0.93524	0.49253	0.034537	0.022414	0.028657	0.44071	0.24885	0.93105	0.073258	0.82713
Meth__cg17173423__MS4A3	0.86027	0.055443	0.79051	0.88235	0.26151	0.076988	0.6842	0.19017	0.4508	0.87488	0.13339	0.70914	0.45963	0.67265	0.06177	0.66964	0.40666	0.15219	0.13572	0.070799	0.12818	0.32767	0.39922	0.086049	0.77648	0.2498	0.72073	0.16708	0.21183	0.10183	0.081574	0.23707	0.079686	0.81791	0.04695	0.2272	0.25187	0.56238
Meth__cg10468369__DDX19B	0.036243	0.036599	0.039977	0.027903	0.026789	0.039084	0.044229	0.049522	0.036742	0.029917	0.035603	0.035201	0.047193	0.092461	0.53254	0.031266	0.03549	0.034607	0.10231	0.040268	0.030507	0.031807	0.03945	0.047953	0.075585	0.21183	0.031585	0.070864	0.060775	0.099273	0.034386	0.027048	0.097572	0.16669	0.13241	0.36449	0.06906	0.029329
Meth__cg19257550__CA9	0.090458	0.1443	0.11886	0.87251	0.89247	0.94201	0.45996	0.14604	0.89598	0.029667	0.96146	0.11819	0.57403	0.27787	0.053894	0.036555	0.072209	0.54327	0.075462	0.03547	0.44593	0.44319	0.96629	0.20083	0.2018	0.27067	0.61111	0.16722	0.13708	0.4319	0.97798	0.063335	0.032641	0.48655	0.063026	0.88941	0.26254	0.63365
Meth__cg18988110__ATAD4	0.036188	0.04799	0.047234	0.039991	0.038218	0.53088	0.039717	0.45394	0.044991	0.060954	0.041471	0.20909	0.04884	0.087064	0.063848	0.05277	0.098005	0.83068	0.088533	0.11386	0.031105	0.032276	0.0375	0.63678	0.032614	0.31164	0.035007	0.074065	0.15037	0.09736	0.68919	0.071502	0.09646	0.059731	0.038051	0.04614	0.057468	0.036968
Meth__cg14724364__KCNJ11	0.050833	0.056696	0.058824	0.071627	0.0671	0.069813	0.074212	0.20247	0.063464	0.053365	0.068083	0.13636	0.12576	0.096767	0.045861	0.054274	0.059724	0.065416	0.15746	0.090037	0.057323	0.066432	0.062023	0.075211	0.051171	0.13435	0.071683	0.19646	0.14371	0.065344	0.0733	0.069788	0.23876	0.068711	0.040279	0.0878	0.12784	0.067682
Meth__cg15931943__FHIT	0.029246	0.024592	0.032352	0.029412	0.019725	0.058098	0.028772	0.34928	0.019822	0.019985	0.023602	0.020781	0.01692	0.083538	0.018388	0.027567	0.031973	0.047561	0.032311	0.02937	0.15922	0.028475	0.028231	0.036108	0.021427	0.15215	0.026649	0.049996	0.032479	0.041875	0.019408	0.027162	0.025432	0.023669	0.023808	0.030796	0.044487	0.026906
Meth__cg09462826__FADS1	0.11931	0.049557	0.68905	0.46093	0.50878	0.042097	0.45755	0.068113	0.20252	0.19716	0.24991	0.054599	0.87097	0.78108	0.3076	0.2756	0.79996	0.039171	0.23325	0.15915	0.4054	0.28824	0.061375	0.17695	0.35978	0.077406	0.25323	0.093832	0.28452	0.09947	0.04981	0.04263	0.44574	0.72716	0.21672	0.43744	0.17177	0.27802
Meth__cg12315311__UNQ3033	0.30843	0.057364	0.81082	0.25577	0.34328	0.17965	0.10387	0.098745	0.096205	0.041389	0.34729	0.29326	0.33085	0.073971	0.030781	0.037632	0.13988	0.066726	0.095517	0.058333	0.39869	0.4246	0.10184	0.093634	0.53968	0.099672	0.091027	0.068369	0.31528	0.12292	0.074312	0.050023	0.11925	0.050161	0.043395	0.098762	0.2141	0.088015
Meth__cg20347268__TP53I3	0.078893	0.052034	0.079067	0.050564	0.030204	0.039742	0.054432	0.042474	0.038004	0.044759	0.035307	0.051415	0.039973	0.076608	0.028371	0.056513	0.033994	0.045328	0.14266	0.034781	0.031025	0.055474	0.038715	0.045093	0.036016	0.087349	0.046467	0.12681	0.07566	0.086159	0.034232	0.038979	0.041762	0.035267	0.036797	0.80407	0.083391	0.037331
Meth__cg06708560__DNAJC7	0.071429	0.031559	0.89851	0.21774	0.064516	0.63649	0.069133	0.6373	0.11491	0.14366	0.1883	0.10061	0.19576	0.49725	0.071889	0.12016	0.057344	0.070882	0.13435	0.070583	0.048626	0.092735	0.07196	0.098871	0.10195	0.732	0.54917	0.15994	0.24923	0.058684	0.088798	0.48798	0.14534	0.17766	0.18171	0.082068	0.26523	0.12352
Meth__cg03116740__TSPAN4	0.52596	0.054164	0.954	0.35727	0.23486	0.067196	0.1216	0.83867	0.75145	0.087696	0.79234	0.19238	0.93274	0.48034	0.9293	0.077995	0.29067	0.8141	0.34996	0.083568	0.54717	0.26178	0.76212	0.5413	0.92022	0.10642	0.19002	0.34503	0.08901	0.13661	0.053814	0.58429	0.043843	0.11236	0.12275	0.031339	0.12987	0.087192
Meth__cg07014174__KRTAP11-1	0.80108	0.066227	0.090694	0.61858	0.40092	0.083158	0.59849	0.2214	0.86289	0.34802	0.075982	0.69621	0.56912	0.16808	0.60216	0.30272	0.42553	0.2621	0.16827	0.086181	0.047993	0.10855	0.4179	0.099673	0.79426	0.17119	0.092457	0.10378	0.25505	0.087419	0.065658	0.41576	0.11364	0.54941	0.066228	0.094361	0.11243	0.26889
Meth__cg03890877__PTK9L	0.043177	0.022184	0.058292	0.12029	0.066172	0.020999	0.18551	0.081719	0.031891	0.029142	0.049605	0.028148	0.61522	0.10087	0.032542	0.039854	0.028772	0.036061	0.11083	0.023959	0.13956	0.16039	0.056723	0.048517	0.68863	0.058576	0.48117	0.34058	0.068095	0.057404	0.032929	0.027556	0.035181	0.028493	0.037349	0.032996	0.48304	0.038765
Meth__cg12650011__TSPAN12	0.036486	0.016254	0.034699	0.027511	0.02947	0.097188	0.029729	0.19224	0.034392	0.023319	0.036408	0.021553	0.038412	0.2992	0.017643	0.028555	0.029531	0.047993	0.037993	0.037131	0.023397	0.028979	0.77608	0.035118	0.021613	0.069056	0.046958	0.038211	0.10851	0.034539	0.040808	0.033195	0.031956	0.029451	0.03625	0.054393	0.084583	0.042071
Meth__cg00405677__HAND1	0.12806	0.043478	0.61401	0.33835	0.042496	0.50758	0.62112	0.87318	0.3364	0.66866	0.039876	0.62982	0.78211	0.72054	0.9046	0.66022	0.78566	0.053745	0.082824	0.16769	0.70961	0.73021	0.11617	0.52242	0.36795	0.45153	0.88108	0.03547	0.77458	0.11106	0.049989	0.047425	0.22312	0.035757	0.050224	0.6076	0.066103	0.36136
Meth__cg15006396__NFKBIZ	0.49423	0.081398	0.069432	0.6956	0.067698	0.083629	0.090269	0.30602	0.078008	0.11801	0.099914	0.084041	0.31224	0.12936	0.060691	0.1052	0.37708	0.078007	0.11908	0.090681	0.098225	0.102	0.10168	0.098445	0.075405	0.1966	0.098195	0.17156	0.13519	0.11569	0.063247	0.075383	0.10357	0.26927	0.59069	0.25308	0.1026	0.36029
Meth__cg15553522__HSPA5BP1	0.063099	0.052509	0.18312	0.045654	0.035478	0.069788	0.082858	0.068846	0.024424	0.037968	0.048164	0.053427	0.057639	0.099714	0.027673	0.056959	0.052287	0.064135	0.10843	0.088017	0.052486	0.078019	0.036096	0.060364	0.049803	0.24168	0.058929	0.10301	0.12441	0.089976	0.039906	0.03629	0.040325	0.057927	0.033377	0.050897	0.10546	0.050256
Meth__cg01685739__SLC4A2	0.043697	0.023346	0.030954	0.026664	0.032092	0.051094	0.035765	0.14362	0.039393	0.030668	0.038082	0.043142	0.18851	0.075173	0.014627	0.04006	0.025311	0.033034	0.039752	0.020937	0.031713	0.037683	0.031065	0.041146	0.022005	0.059942	0.044519	0.11307	0.060274	0.046769	0.019224	0.032974	0.041382	0.0419	0.03863	0.049085	0.1349	0.0393
Meth__cg26312150__TWIST1	0.12266	0.070459	0.91483	0.09242	0.069337	0.05861	0.52541	0.048299	0.074849	0.059596	0.067395	0.62415	0.29142	0.30015	0.55487	0.064715	0.065359	0.059398	0.13034	0.048371	0.42849	0.10968	0.099937	0.091359	0.083237	0.92416	0.096065	0.14208	0.90159	0.14158	0.061822	0.074705	0.054675	0.047975	0.060908	0.71311	0.52641	0.085114
Meth__cg17665193__GAD2	0.071861	0.026383	0.062581	0.69791	0.92351	0.087782	0.12247	0.1257	0.17209	0.026378	0.037637	0.40791	0.24193	0.13045	0.031187	0.030383	0.29381	0.13089	0.025253	0.021925	0.098021	0.11009	0.062576	0.074403	0.45551	0.083913	0.46901	0.1006	0.079766	0.043105	0.028264	0.17379	0.028125	0.22638	0.040145	0.034806	0.074791	0.037087
Meth__cg20295671__YPEL1	0.016122	0.018059	0.011932	0.019201	0.011041	0.015515	0.017828	0.025829	0.023154	0.016724	0.46206	0.37964	0.12028	0.22685	0.012767	0.015421	0.01363	0.014147	0.041229	0.21881	0.014442	0.021829	0.019338	0.016047	0.013777	0.66664	0.047493	0.023377	0.027979	0.028497	0.015202	0.19984	0.018808	0.018946	0.013909	0.013432	0.032293	0.018484
Meth__cg23922454__LHX5	0.24958	0.041697	0.89818	0.8938	0.63479	0.77791	0.21208	0.46945	0.78779	0.051255	0.78687	0.87075	0.79889	0.83861	0.056746	0.05134	0.27269	0.53921	0.091176	0.057802	0.8356	0.83733	0.050703	0.68242	0.94925	0.58255	0.53889	0.12727	0.6387	0.085386	0.86288	0.063953	0.072351	0.12581	0.031197	0.39626	0.080189	0.41889
Meth__cg13968061__APCS	0.69767	0.07089	0.83099	0.3748	0.088005	0.8993	0.25308	0.75813	0.54043	0.54907	0.11093	0.52141	0.10637	0.8145	0.065113	0.42995	0.61399	0.64494	0.32397	0.1454	0.072019	0.10541	0.46025	0.13304	0.40566	0.79296	0.26879	0.11099	0.16054	0.15882	0.097908	0.8811	0.8898	0.16021	0.31601	0.43118	0.22025	0.33903
Meth__cg03221776__MFSD3	0.051441	0.038959	0.069668	0.039037	0.033151	0.82593	0.047115	0.91654	0.049864	0.33511	0.060837	0.04808	0.1196	0.07579	0.025793	0.31006	0.039585	0.5997	0.096657	0.028945	0.035315	0.057959	0.035992	0.87675	0.033025	0.071317	0.072068	0.1258	0.082598	0.061108	0.039369	0.037709	0.16788	0.051378	0.031213	0.026589	0.069942	0.035826
Meth__cg05846716__PCSK2	0.13175	0.023449	0.2498	0.066287	0.064383	0.074655	0.31453	0.27397	0.089041	0.040976	0.051249	0.40316	0.69231	0.17054	0.045314	0.045851	0.061774	0.034612	0.074372	0.033381	0.20158	0.12069	0.14152	0.056183	0.033704	0.14106	0.28619	0.047491	0.8648	0.046029	0.038593	0.024931	0.043982	0.033742	0.032	0.14054	0.16205	0.10264
Meth__cg19356189__KLK10	0.11129	0.082353	0.92857	0.41018	0.39302	0.11997	0.24895	0.61074	0.34246	0.32816	0.078506	0.5566	0.91555	0.57589	0.071381	0.24072	0.68844	0.4355	0.30062	0.06801	0.18811	0.18347	0.90827	0.22113	0.14488	0.12476	0.41859	0.12415	0.20444	0.11531	0.24514	0.0795	0.10198	0.21146	0.44753	0.71902	0.13391	0.15143
Meth__cg01519742__JAKMIP1	0.030357	0.023443	0.042944	0.02894	0.018709	0.72168	0.027624	0.089076	0.55981	0.046186	0.036173	0.043988	0.29964	0.12275	0.98425	0.047913	0.032528	0.050461	0.046013	0.20033	0.029004	0.044121	0.025803	0.031929	0.040976	0.95995	0.035035	0.049978	0.79604	0.081231	0.02874	0.58003	0.06178	0.029076	0.021227	0.03167	0.069697	0.030228
Meth__cg24530795__FAM109A	0.036129	0.031058	0.4604	0.59718	0.14687	0.041118	0.51464	0.044431	0.14188	0.067493	0.21908	0.051428	0.025048	0.27462	0.090531	0.1609	0.080627	0.031728	0.070562	0.033762	0.16776	0.36138	0.17179	0.04518	0.13562	0.061208	0.2382	0.10726	0.046833	0.074235	0.041402	0.040602	0.036098	0.10335	0.43836	0.33839	0.053037	0.10674
Meth__cg25813820__MPP1	0.62375	0.045106	0.53859	0.44297	0.05928	0.036103	0.048983	0.023752	0.58414	0.23716	0.041626	0.047749	0.27769	0.90318	0.11669	0.19619	0.5276	0.58079	0.20919	0.034441	0.22175	0.053815	0.63879	0.13634	0.60509	0.10154	0.89952	0.075328	0.69963	0.056627	0.63585	0.036195	0.35973	0.081254	0.046479	0.40486	0.044851	0.70215
Meth__cg06367117__ALDOC	0.24454	0.030851	0.31053	0.9287	0.058563	0.94623	0.037487	0.056289	0.05373	0.6973	0.92983	0.036607	0.41948	0.20494	0.37023	0.57313	0.040173	0.95653	0.94087	0.93657	0.039484	0.038516	0.037643	0.87855	0.038263	0.080988	0.77101	0.77074	0.91773	0.075493	0.58905	0.64302	0.6737	0.030876	0.8102	0.046229	0.069804	0.83759
Meth__cg03852144__GLRX	0.82227	0.10375	0.24038	0.86535	0.89732	0.89228	0.88177	0.066242	0.82952	0.90505	0.90034	0.82608	0.67557	0.22092	0.92342	0.81333	0.08067	0.081431	0.59895	0.06061	0.66876	0.66304	0.90716	0.070822	0.2533	0.1626	0.53707	0.28602	0.81013	0.17963	0.053341	0.061656	0.076272	0.03454	0.19099	0.88381	0.78284	0.84125
Meth__cg10691006__MCM2	0.12147	0.64357	0.55672	0.69391	0.60067	0.6691	0.61052	0.060114	0.066997	0.3879	0.4724	0.058788	0.42402	0.57263	0.49249	0.48069	0.53333	0.29733	0.17984	0.057532	0.19331	0.11111	0.56009	0.065428	0.24482	0.058527	0.8534	0.092615	0.21427	0.61104	0.041743	0.066443	0.043683	0.75004	0.10859	0.045198	0.15484	0.47095
Meth__cg07755653__STX11	0.048791	0.057977	0.057338	0.10877	0.0472	0.10663	0.26974	0.12145	0.078205	0.028587	0.053004	0.16628	0.030475	0.32789	0.029807	0.039172	0.046533	0.084383	0.10424	0.08283	0.16159	0.04479	0.13416	0.03828	0.061432	0.094819	0.054182	0.069424	0.76314	0.05784	0.030268	0.10206	0.078057	0.058449	0.043404	0.40354	0.054718	0.061396
Meth__cg21449843__MANBAL	0.03111	0.012847	0.03049	0.09375	0.024229	0.017744	0.033883	0.078064	0.01641	0.034537	0.033322	0.014601	0.02083	0.43082	0.077562	0.034176	0.040071	0.017441	0.10748	0.28321	0.032449	0.039516	0.030992	0.051208	0.034418	0.06508	0.028254	0.035528	0.056682	0.022923	0.023313	0.032905	0.039855	0.083916	0.02818	0.037196	0.067574	0.032644
Meth__cg09998229__TBXA2R	0.037875	0.08609	0.080948	0.17702	0.036081	0.054444	0.037365	0.10538	0.73018	0.045813	0.063448	0.051421	0.039406	0.077735	0.034845	0.043171	0.47073	0.039025	0.048955	0.028664	0.090894	0.052006	0.037898	0.045751	0.031848	0.064614	0.096939	0.067366	0.32671	0.083311	0.25174	0.027167	0.026298	0.030198	0.037028	0.030919	0.090772	0.14502
Meth__cg14430111__TM7SF2	0.060894	0.022593	0.039456	0.028369	0.038005	0.026552	0.048356	0.061638	0.033433	0.21539	0.038328	0.93217	0.019697	0.063696	0.030153	0.19727	0.025745	0.27756	0.55914	0.41594	0.031608	0.038592	0.046164	0.94155	0.035265	0.093448	0.046493	0.054294	0.054024	0.059319	0.035785	0.028795	0.041822	0.044866	0.96425	0.038909	0.071506	0.039479
Meth__cg27650434__MYCL1	0.052684	0.093831	0.10222	0.076676	0.13772	0.76885	0.055397	0.17729	0.066424	0.056666	0.049452	0.21114	0.031609	0.22678	0.027218	0.055824	0.04359	0.12496	0.088428	0.17654	0.03897	0.095279	0.72427	0.13566	0.1874	0.36209	0.041912	0.05087	0.11246	0.079981	0.081907	0.034023	0.43382	0.27734	0.027185	0.28439	0.060747	0.037503
Meth__cg16488098__PODXL	0.26743	0.28304	0.95037	0.35252	0.73236	0.81454	0.83931	0.67666	0.44634	0.12599	0.6195	0.28246	0.23054	0.93242	0.13555	0.16524	0.23725	0.071209	0.079926	0.072844	0.56096	0.074299	0.87558	0.86759	0.82908	0.51585	0.36532	0.058377	0.1896	0.40057	0.029401	0.031427	0.083594	0.91189	0.09042	0.80267	0.13254	0.65974
Meth__cg00698688__SULT2B1	0.026749	0.020386	0.017551	0.024451	0.017886	0.96551	0.020559	0.80999	0.022452	0.021309	0.022924	0.60353	0.024925	0.038878	0.015445	0.022802	0.39257	0.89617	0.020876	0.073799	0.015398	0.030008	0.024496	0.92752	0.020105	0.94436	0.037161	0.04262	0.052209	0.14658	0.26893	0.047579	0.50361	0.037671	0.017136	0.32866	0.12898	0.038183
Meth__cg20291222__CAPS2	0.14991	0.12362	0.22727	0.77767	0.30081	0.1143	0.2283	0.2533	0.13413	0.57264	0.10885	0.43148	0.20505	0.15331	0.14427	0.45226	0.65286	0.1444	0.27861	0.13165	0.12176	0.12402	0.73683	0.13359	0.54197	0.2	0.14396	0.17216	0.24512	0.12871	0.46767	0.12484	0.13419	0.81426	0.10579	0.48055	0.20438	0.18571
Meth__cg21596317__PAM	0.051191	0.024226	0.039445	0.18027	0.058279	0.026643	0.04074	0.069667	0.93242	0.032886	0.032952	0.94923	0.047429	0.91475	0.050524	0.034007	0.71153	0.035219	0.054657	0.034145	0.54843	0.34076	0.83729	0.034719	0.060564	0.043521	0.10825	0.040323	0.58273	0.058629	0.87977	0.022339	0.031901	0.95202	0.20369	0.82328	0.085824	0.10672
Meth__cg10999429__ACVRL1	0.037431	0.018575	0.079092	0.21001	0.073447	0.043017	0.04854	0.063918	0.51682	0.3533	0.029854	0.45684	0.3295	0.091968	0.013603	0.22276	0.12391	0.10588	0.025773	0.014509	0.051903	0.06923	0.25087	0.048813	0.54293	0.095569	0.041179	0.032978	0.063712	0.026466	0.028967	0.13284	0.022723	0.050522	0.022336	0.043972	0.045827	0.020012
Meth__cg20637800__BRI3	0.036045	0.047011	0.052067	0.040368	0.088527	0.030945	0.097576	0.036444	0.047487	0.027436	0.046828	0.031295	0.04073	0.084336	0.02481	0.029932	0.02691	0.039692	0.082515	0.025019	0.15736	0.077288	0.12389	0.051744	0.26493	0.056595	0.14685	0.10983	0.072849	0.056027	0.024295	0.021347	0.030816	0.02741	0.022993	0.026973	0.14915	0.040484
Meth__cg03332970__ESAM	0.078194	0.040239	0.06546	0.063172	0.060062	0.84854	0.067929	0.8316	0.044543	0.039336	0.052435	0.16299	0.044326	0.18126	0.049826	0.052315	0.12833	0.072852	0.15103	0.61276	0.056022	0.062708	0.047154	0.081236	0.061858	0.063341	0.05875	0.15145	0.14353	0.078882	0.064535	0.05038	0.057751	0.068523	0.039946	0.51444	0.068722	0.053013
Meth__cg02998425__ADAM21	0.91957	0.022214	0.76409	0.87992	0.61775	0.060832	0.59729	0.097906	0.96052	0.88027	0.34254	0.65188	0.48407	0.28164	0.037316	0.54179	0.43903	0.74457	0.072522	0.041828	0.14546	0.33397	0.92567	0.03813	0.94117	0.0625	0.22864	0.034629	0.2955	0.058077	0.14016	0.24169	0.031694	0.77112	0.046882	0.36878	0.023889	0.55082
Meth__cg15185794__PADI2	0.048874	0.072828	0.07414	0.064769	0.053857	0.5231	0.064702	0.62568	0.088101	0.061232	0.059159	0.84108	0.075539	0.10317	0.050555	0.060447	0.047613	0.53038	0.14213	0.33486	0.048466	0.062526	0.06509	0.61255	0.046304	0.38527	0.067213	0.089067	0.087737	0.07169	0.1094	0.1065	0.30252	0.047863	0.056706	0.049028	0.096677	0.045847
Meth__cg01125463__PEX6	0.043703	0.052371	0.42529	0.10252	0.36419	0.26509	0.084644	0.1446	0.039857	0.076814	0.064592	0.13233	0.37773	0.48548	0.4176	0.076669	0.16993	0.061911	0.096372	0.24681	0.69634	0.57856	0.1292	0.13884	0.088202	0.12615	0.34223	0.066422	0.058529	0.1696	0.046288	0.049519	0.038075	0.18697	0.045035	0.052268	0.10577	0.048368
Meth__cg01184522__ZNF496	0.019043	0.86648	0.11767	0.16598	0.48796	0.021103	0.072605	0.035762	0.064435	0.020647	0.95939	0.018235	0.046538	0.13207	0.38373	0.026963	0.021369	0.016264	0.054804	0.017	0.029389	0.042118	0.068669	0.38599	0.029846	0.049809	0.06764	0.031197	0.033694	0.23224	0.024451	0.017943	0.022162	0.89644	0.025776	0.020742	0.039251	0.02587
Meth__cg16770799__ITGA5	0.074418	0.043447	0.067485	0.8854	0.17002	0.12763	0.21217	0.14667	0.40095	0.068177	0.535	0.075155	0.66964	0.16755	0.088384	0.075949	0.1759	0.043332	0.15269	0.065932	0.59707	0.50353	0.63095	0.066387	0.13718	0.12574	0.48345	0.052908	0.86732	0.10683	0.053988	0.053449	0.050832	0.37516	0.063009	0.62757	0.42431	0.076115
Meth__cg08571203__FOXJ2	0.025259	0.029171	0.039893	0.19759	0.11993	0.022537	0.068938	0.03117	0.024624	0.68681	0.096596	0.015795	0.061836	0.043762	0.61339	0.58017	0.029684	0.017597	0.042478	0.017284	0.024282	0.023024	0.022661	0.064318	0.035223	0.039918	0.024925	0.034903	0.01962	0.040961	0.014681	0.015958	0.027341	0.016236	0.018795	0.037107	0.087773	0.020545
Meth__cg16978070__FLJ39370	0.030112	0.035838	0.046991	0.031336	0.033929	0.30178	0.037686	0.11715	0.027011	0.030327	0.024456	0.023606	0.073508	0.041925	0.021546	0.03714	0.025095	0.039746	0.063027	0.026891	0.037744	0.033233	0.034313	0.028077	0.01517	0.088647	0.036088	0.066242	0.05615	0.034855	0.026363	0.022876	0.039917	0.035001	0.027682	0.031311	0.074014	0.029279
Meth__cg13277716__KAL1	0.40969	0.046551	0.92615	0.029017	0.025637	0.032574	0.048685	0.034972	0.045046	0.036387	0.036536	0.055877	0.055205	0.35348	0.0352	0.042571	0.035635	0.041439	0.33621	0.17362	0.028696	0.041125	0.031812	0.11881	0.036457	0.12591	0.040914	0.068265	0.11273	0.055357	0.032377	0.29007	0.38724	0.020235	0.03136	0.04447	0.054421	0.035975
Meth__cg26531804__SPINT1	0.03995	0.058876	0.051174	0.069009	0.098212	0.86782	0.081386	0.91317	0.059869	0.064649	0.11946	0.058388	0.10448	0.069069	0.038696	0.067437	0.067097	0.71657	0.093919	0.6145	0.057894	0.064272	0.058143	0.89994	0.06847	0.8274	0.052344	0.090415	0.081014	0.098097	0.10971	0.16319	0.87992	0.079403	0.049731	0.036535	0.077966	0.051397
Meth__cg27628312__EPHB6	0.028829	0.029594	0.023971	0.027386	0.016183	0.026001	0.021577	0.097365	0.029394	0.021449	0.028276	0.10492	0.035685	0.049972	0.011225	0.020207	0.021318	0.026447	0.038926	0.16841	0.025212	0.026218	0.027671	0.030818	0.014384	0.83631	0.030046	0.058386	0.047139	0.060522	0.011567	0.040276	0.025318	0.026859	0.022118	0.026872	0.077705	0.044291
Meth__cg01836044__PCDH20	0.056327	0.051085	0.61467	0.063507	0.043961	0.077138	0.05921	0.18235	0.042091	0.08352	0.049416	0.1348	0.099472	0.202	0.044507	0.056671	0.047998	0.27356	0.067349	0.044913	0.055302	0.072255	0.070367	0.062786	0.032291	0.097367	0.056733	0.1169	0.19367	0.074817	0.040988	0.050268	0.062242	0.28727	0.038978	0.053535	0.14992	0.051378
Meth__cg22476084__FXYD6	0.15583	0.049855	0.52146	0.79668	0.64673	0.13626	0.53993	0.3976	0.21928	0.17178	0.76951	0.1801	0.75367	0.71024	0.095094	0.17161	0.14536	0.069428	0.11203	0.06728	0.759	0.52901	0.71326	0.087491	0.8104	0.15403	0.5834	0.085038	0.10069	0.094957	0.054437	0.046137	0.1556	0.92154	0.27702	0.58248	0.16875	0.76748
Meth__cg12728032__ELF5	0.099195	0.044628	0.25314	0.055069	0.11541	0.20075	0.091379	0.39959	0.12335	0.06333	0.063429	0.1445	0.073974	0.39871	0.042031	0.054822	0.11003	0.69142	0.3814	0.085784	0.077253	0.081201	0.60534	0.57474	0.044368	0.35253	0.078688	0.39324	0.35557	0.065063	0.12293	0.1659	0.21163	0.067462	0.048534	0.48637	0.083481	0.15539
Meth__cg04770504__DFNA5	0.52962	0.032854	0.60618	0.92466	0.48612	0.030053	0.95623	0.015783	0.9483	0.067309	0.064716	0.052992	0.074781	0.75957	0.22073	0.12752	0.052437	0.044207	0.36641	0.072843	0.95092	0.93682	0.71317	0.042381	0.50592	0.083844	0.45295	0.13904	0.92959	0.073621	0.0367	0.027205	0.036375	0.57557	0.049225	0.95233	0.5694	0.48783
Meth__cg07297178__CEACAM7	0.93413	0.07099	0.91915	0.92683	0.92293	0.13652	0.72365	0.16496	0.65363	0.054803	0.58197	0.32097	0.74181	0.84277	0.089623	0.14373	0.1964	0.71908	0.15699	0.064632	0.66484	0.73871	0.95039	0.11173	0.95603	0.15198	0.90437	0.35502	0.63241	0.073829	0.071536	0.060016	0.066201	0.86507	0.26449	0.79838	0.13914	0.9244
Meth__cg11214889__CLUL1	0.041391	0.027944	0.072708	0.038262	0.032343	0.29705	0.041673	0.16339	0.023525	0.02319	0.045957	0.045534	0.029415	0.059021	0.021163	0.035544	0.023269	0.051412	0.054623	0.88483	0.033151	0.041597	0.051926	0.36305	0.033226	0.70005	0.034581	0.06003	0.14515	0.046486	0.049096	0.036057	0.071154	0.034424	0.028149	0.044546	0.079935	0.066431
Meth__cg23989635__CDH1	0.050655	0.64228	0.09478	0.063581	0.035018	0.96862	0.048779	0.91248	0.0549	0.040911	0.045953	0.050443	0.093967	0.077402	0.03149	0.039968	0.045505	0.10406	0.076948	0.66219	0.038011	0.068377	0.056241	0.10807	0.049387	0.94931	0.055096	0.045754	0.066226	0.41594	0.049494	0.044189	0.12654	0.028337	0.060104	0.032951	0.052377	0.041385
Meth__cg26967875__KLC2	0.057557	0.46722	0.87927	0.74732	0.33187	0.39374	0.58624	0.033091	0.28674	0.062879	0.46632	0.25899	0.070673	0.28555	0.51506	0.15713	0.086924	0.072979	0.12715	0.048944	0.41214	0.089387	0.06058	0.17039	0.19299	0.083162	0.33349	0.075467	0.12015	0.38039	0.039953	0.02939	0.31731	0.4102	0.21141	0.55254	0.16616	0.43183
Meth__cg14304761__SYK	0.054101	0.042049	0.05653	0.054236	0.046041	0.95004	0.05121	0.54465	0.034211	0.034097	0.057074	0.57596	0.064816	0.079291	0.12145	0.042559	0.041746	0.33969	0.13637	0.35845	0.034742	0.051587	0.59105	0.27005	0.037294	0.9102	0.062816	0.10195	0.77165	0.090157	0.048499	0.05212	0.80499	0.16042	0.036578	0.03449	0.0625	0.053061
Meth__cg08590939__OXCT1	0.052523	0.080204	0.048738	0.20992	0.85325	0.029701	0.91022	0.025918	0.041699	0.035581	0.91788	0.052928	0.037889	0.4535	0.6434	0.041804	0.034303	0.028064	0.051387	0.032012	0.92022	0.67333	0.14732	0.057413	0.41786	0.55231	0.19414	0.067456	0.051032	0.099256	0.035851	0.041438	0.029812	0.8242	0.025674	0.53131	0.83674	0.24821
