Cell lines	600MPE	AU565	BT474	BT483	BT549	CAMA1	HCC1143	HCC1428	HCC1569	HCC1937	HCC1954	HCC202	HCC3153	HCC38	HCC70	HS578T	LY2	MCF7	MDAMB175VII	MDAMB231	MDAMB361	MDAMB453	SKBR3	SUM1315MO2	SUM149PT	SUM52PE	T47D	UACC812	ZR751	ZR7530	ZR75B
Meth__cg13658777__PDHA1	0.54705	0.061812	0.072585	0.078825	0.070779	0.12195	0.15146	0.092339	0.096065	0.50459	0.41875	0.073493	0.062749	0.11196	0.46036	0.056318	0.069168	0.075484	0.52632	0.13359	0.43502	0.40845	0.12583	0.59579	0.11699	0.12834	0.20898	0.45468	0.31021	0.55538	0.068335
Meth__cg13666729__ZBTB8	0.083947	0.032991	0.20949	0.036817	0.16847	0.1509	0.57617	0.040586	0.13793	0.027546	0.51507	0.88179	0.029921	0.25433	0.12495	0.38019	0.46153	0.35253	0.031084	0.88812	0.69195	0.84013	0.074698	0.030012	0.030698	0.41199	0.18691	0.054534	0.033949	0.53819	0.086032
Meth__cg17787710__RAC3	0.055081	0.036559	0.044284	0.054287	0.043611	0.052305	0.052566	0.51668	0.041928	0.17055	0.098203	0.065695	0.099966	0.036863	0.085045	0.037224	0.038778	0.13975	0.038656	0.051076	0.049548	0.12462	0.052274	0.046621	0.47775	0.041782	0.1065	0.94214	0.047011	0.098574	0.05151
RS_G6413__KLHDC7B__KLHDC7B	0.44351	1.5307	0.26069	3.0774	0	0.36018	2.9582	0.17453	6.5033	8.7777	1.2454	1.3979	3.2379	0.23533	9.8389	0.27498	1.5856	0.44704	1.4672	0.51994	0.11993	0.41783	0	3.5951	9.2685	0.85166	0.80079	1.2281	2.9772	0	0
Meth__cg04367351__PLA2R1	0.049206	0.20564	0.036583	0.081795	0.37418	0.81595	0.053166	0.090824	0.052491	0.19053	0.87864	0.068906	0.091784	0.059576	0.15245	0.044494	0.64949	0.64951	0.051487	0.69314	0.073245	0.85257	0.1055	0.03373	0.034767	0.84211	0.11971	0.079111	0.073182	0.10385	0.065057
Meth__cg03411288__C10orf47	0.050263	0.043573	0.071078	0.033476	0.042411	0.072645	0.056307	0.049407	0.05947	0.039785	0.060842	0.042644	0.044316	0.038659	0.097715	0.30261	0.041518	0.064541	0.095092	0.1339	0.066302	0.88056	0.060586	0.042257	0.031401	0.23303	0.1056	0.040758	0.051308	0.073631	0.042608
Meth__cg26580095__BTBD8	0.10082	0.08093	0.71731	0.30389	0.86931	0.27092	0.14169	0.14014	0.080717	0.58851	0.53797	0.11739	0.22377	0.55969	0.089175	0.33461	0.11524	0.19415	0.15913	0.075161	0.25363	0.67079	0.24814	0.036312	0.57146	0.12543	0.075823	0.071367	0.20818	0.11092	0.19362
Meth__cg24677780__CA11	0.055462	0.23461	0.45431	0.18105	0.04277	0.26434	0.0436	0.050339	0.12198	0.15311	0.42224	0.13389	0.21562	0.058251	0.1175	0.040124	0.067817	0.094313	0.088606	0.12322	0.24275	0.35797	0.11028	0.055734	0.055288	0.42725	0.074248	0.074788	0.086204	0.34192	0.070084
RS_G19250__ABCA4__ABCA4	2.5925	1.8337	3.9603	5.4901	0.26948	0.28068	0.23368	6.1509	2.5443	2.4337	1.3841	6.106	1.9661	0.29762	0.88168	1.2798	2.2154	0.99615	3.3904	1.4951	0.99526	0.25117	3.5587	1.6032	3.7364	1.6978	2.6309	6.0141	4.9307	2.0351	0.65076
Meth__cg15993674__PRNP	0.041368	0.053461	0.042644	0.026067	0.036188	0.77186	0.043488	0.043972	0.058662	0.021037	0.068111	0.059228	0.034804	0.061908	0.08417	0.032059	0.033837	0.041762	0.046714	0.086135	0.045542	0.14878	0.046405	0.031098	0.03351	0.045524	0.057076	0.036874	0.039851	0.65416	0.034553
Meth__cg16584573__FGF8	0.038582	0.047111	0.18883	0.049814	0.60628	0.40799	0.16078	0.025908	0.94805	0.082023	0.97159	0.10832	0.093088	0.056905	0.07605	0.059033	0.69808	0.063381	0.70025	0.94865	0.052444	0.97148	0.082913	0.027008	0.033912	0.81424	0.30467	0.050523	0.052026	0.14696	0.18331
Meth__cg13704271__CCDC28B	0.05914	0.069742	0.061467	0.056064	0.05364	0.06867	0.072118	0.053364	0.050635	0.051571	0.19142	0.045548	0.30432	0.045148	0.12891	0.039807	0.23333	0.065661	0.052037	0.14157	0.060159	0.094844	0.094998	0.043506	0.052666	0.61522	0.072651	0.070695	0.06842	0.13061	0.38382
Meth__cg03852144__GLRX	0.82227	0.10375	0.86535	0.89732	0.89228	0.88177	0.82952	0.90034	0.82608	0.67557	0.22092	0.92342	0.08067	0.081431	0.59895	0.06061	0.66876	0.66304	0.2533	0.1626	0.53707	0.81013	0.17963	0.053341	0.061656	0.88381	0.78284	0.89972	0.84125	0.15813	0.89533
Meth__cg10332700__ZNF415	0.035117	0.022465	0.041575	0.033044	0.029478	0.57692	0.93108	0.026517	0.038838	0.024063	0.57526	0.020916	0.73733	0.022714	0.078255	0.030419	0.97781	0.82416	0.039064	0.8533	0.035206	0.92346	0.061649	0.028517	0.079028	0.2717	0.04483	0.035901	0.34846	0.10643	0.16907
Meth__cg07113600__KLF12	0.043766	0.042694	0.03907	0.033096	0.033438	0.038407	0.03042	0.053299	0.057156	0.046677	0.073524	0.034832	0.049115	0.060873	0.096342	0.063065	0.068184	0.052799	0.032323	0.11875	0.054296	0.094291	0.059781	0.043689	0.033169	0.10059	0.075202	0.038605	0.51734	0.11794	0.72377
Meth__cg05607127__KCNG3	0.047459	0.069556	0.062421	0.039031	0.044448	0.064262	0.044152	0.038788	0.067426	0.05217	0.069278	0.031574	0.047636	0.046883	0.076189	0.052962	0.040812	0.066218	0.039424	0.70303	0.074372	0.29431	0.10255	0.049059	0.046202	0.040843	0.05972	0.037531	0.040968	0.058098	0.049738
Meth__cg01520924__HSPA2	0.21635	0.92864	0.51552	0.65013	0.89627	0.93719	0.055097	0.26804	0.64922	0.37054	0.67649	0.80087	0.48453	0.453	0.14513	0.041041	0.26603	0.10415	0.51801	0.098588	0.56506	0.18324	0.62264	0.04642	0.047312	0.9365	0.11517	0.067339	0.76769	0.12305	0.92165
Meth__cg18695917__FSTL5	0.55365	0.033147	0.81365	0.042596	0.033762	0.04104	0.96639	0.053297	0.15927	0.61778	0.064478	0.027397	0.034042	0.34409	0.056062	0.046452	0.020556	0.048758	0.021554	0.68844	0.44108	0.87106	0.073391	0.029173	0.024049	0.028069	0.62486	0.051979	0.030041	0.075005	0.043531
Meth__cg09754413__RNF182	0.52061	0.078875	0.38098	0.13669	0.043119	0.81428	0.10896	0.13314	0.54797	0.14382	0.64177	0.47783	0.34766	0.052158	0.11597	0.42179	0.70165	0.70021	0.75151	0.3453	0.2409	0.66826	0.17378	0.05675	0.11934	0.8306	0.33042	0.083261	0.27329	0.46513	0.20727
Meth__cg03109316__ZNF80	0.79014	0.032029	0.81772	0.3884	0.37761	0.63533	0.94863	0.33488	0.89647	0.8656	0.098093	0.047173	0.74926	0.93805	0.078491	0.22611	0.16289	0.14337	0.93575	0.33508	0.057851	0.16853	0.041155	0.31333	0.56294	0.036595	0.10319	0.045468	0.2955	0.085003	0.23653
Meth__cg08965337__RAP2C	0.54944	0.075845	0.19824	0.29022	0.054277	0.12484	0.23966	0.65802	0.084918	0.076799	0.15242	0.33796	0.23883	0.50409	0.17133	0.12095	0.078254	0.082288	0.42832	0.13831	0.15813	0.28923	0.14542	0.65859	0.078954	0.10814	0.14076	0.64515	0.19634	0.57465	0.088588
Meth__cg06020352__IRF8	0.13752	0.11164	0.84838	0.54973	0.32444	0.12452	0.70024	0.83475	0.8331	0.8694	0.73137	0.075577	0.5322	0.14555	0.1821	0.10249	0.50745	0.34958	0.52559	0.65861	0.85712	0.5903	0.15913	0.0919	0.075808	0.81023	0.16983	0.88647	0.086334	0.37815	0.13221
Meth__cg23681213__PNMA1	0.036904	0.0709	0.029372	0.026128	0.0255	0.032221	0.027807	0.034371	0.034382	0.03098	0.12415	0.031687	0.034915	0.033283	0.079673	0.028419	0.027686	0.035327	0.47662	0.07749	0.1151	0.10941	0.23919	0.029251	0.076153	0.033916	0.046471	0.04034	0.048791	0.7908	0.03194
RS_G16217__CHST6__CHST6	2.6012	1.5144	1.6411	2.0451	2.1819	2.3057	2.1331	3.0885	4.9838	3.5074	1.7426	2.2932	2.7571	3.4023	5.4139	2.6436	1.4215	1.7423	3.5441	1.385	1.5255	1.7846	2.1644	4.2671	2.72	2.4523	1.8302	2.3171	2.3691	2.2966	1.8537
Meth__cg26164184__FCN2	0.9376	0.10469	0.76232	0.76149	0.28841	0.63137	0.45562	0.38554	0.83093	0.91218	0.87724	0.054698	0.6877	0.95427	0.086957	0.045661	0.53506	0.5676	0.95076	0.10145	0.23082	0.11448	0.069767	0.2363	0.11086	0.77248	0.11665	0.64765	0.38241	0.10267	0.26073
Meth__cg17261830__NEK9	0.021358	0.96261	0.029672	0.02837	0.58704	0.028979	0.08221	0.024946	0.97198	0.025677	0.36949	0.71198	0.020546	0.033362	0.060063	0.026262	0.70664	0.74043	0.18543	0.045166	0.027055	0.061259	0.088546	0.014715	0.021125	0.026666	0.041449	0.022805	0.39493	0.52464	0.029837
Meth__cg09920632__PHF8	0.53824	0.1815	0.084191	0.52278	0.055886	0.072093	0.06972	0.74077	0.10823	0.68254	0.46588	0.55494	0.6962	0.063949	0.43795	0.046332	0.056015	0.085268	0.59506	0.090467	0.57722	0.5735	0.56871	0.63678	0.048294	0.049211	0.13562	0.60968	0.43346	0.83973	0.06988
Meth__cg20134151__PPP1R14C	0.21995	0.39223	0.93492	0.10634	0.81803	0.89595	0.025193	0.10048	0.22771	0.71875	0.75696	0.086217	0.12475	0.057275	0.12855	0.090696	0.93507	0.92317	0.9306	0.67879	0.95115	0.89126	0.16682	0.038161	0.024421	0.85317	0.38457	0.92832	0.70876	0.63475	0.46403
Meth__cg12559031__DLX4	0.063804	0.047144	0.073393	0.029821	0.47001	0.062107	0.046201	0.048759	0.10037	0.028062	0.051139	0.034672	0.041007	0.23701	0.094423	0.10007	0.033401	0.069077	0.035906	0.089583	0.047465	0.40484	0.069851	0.088846	0.30669	0.36688	0.026596	0.039656	0.039526	0.053813	0.042181
Meth__cg02508567__TCF7L1	0.084028	0.16638	0.40316	0.045182	0.55977	0.12328	0.29513	0.038375	0.14862	0.21393	0.45325	0.026206	0.14958	0.072304	0.19322	0.030414	0.53043	0.46357	0.055648	0.85454	0.22492	0.21453	0.20582	0.075889	0.046743	0.51429	0.055886	0.17663	0.088289	0.11526	0.4144
Meth__cg26036443__EHD2	0.056504	0.04708	0.90683	0.82286	0.045626	0.052403	0.1139	0.18485	0.90394	0.30208	0.10675	0.038588	0.068838	0.048639	0.28776	0.046894	0.045916	0.14278	0.48062	0.14294	0.69298	0.087145	0.098769	0.051464	0.036489	0.17823	0.11551	0.11252	0.060969	0.097892	0.071972
RS_G432__GRAMD1B__GRAMD1B	0.28829	2.1581	0.75376	1.1705	0	0	0	1.6006	0	1.8936	2.5773	0	1.7797	2.2565	1.6947	3.2005	2.4558	0.57275	4.9375	0	3.6724	1.0083	1.9518	0	3.5469	3.8339	1.0294	1.0115	1.8371	0	0.59182
Meth__cg03302287__PKP2	0.043445	0.083649	0.055358	0.030474	0.93296	0.043877	0.063005	0.038715	0.044027	0.027698	0.11232	0.047179	0.040904	0.076315	0.12308	0.43069	0.034847	0.040196	0.03619	0.1262	0.044025	0.11616	0.084804	0.041663	0.038136	0.036931	0.10114	0.041224	0.043055	0.08619	0.058149
Meth__cg23894539__STARD3	0.025114	0.0091694	0.018655	0.020547	0.017082	0.02472	0.020385	0.035393	0.99018	0.046706	0.017334	0.0085854	0.015665	0.023741	0.10981	0.018216	0.01984	0.031322	0.012442	0.020408	0.016629	0.039374	0.029186	0.018278	0.019881	0.010074	0.026984	0.016633	0.024212	0.021398	0.021794
Meth__cg03751813__ZNF585B	0.037543	0.039759	0.63511	0.035655	0.038374	0.15657	0.97975	0.038054	0.030495	0.020904	0.057507	0.034208	0.035797	0.029645	0.079573	0.0389	0.36784	0.25099	0.037818	0.10395	0.038881	0.063687	0.080874	0.033892	0.030668	0.19246	0.097315	0.040723	0.1146	0.14386	0.41095
RS_G7225__ELF5__ELF5	0.37677	4.5885	6.4031	6.512	0	1.9674	2.4337	7.078	1.1045	4.7027	0	5.789	4.5554	0	0.48747	0.22762	4.5813	5.0972	4.8163	0	4.3672	0	5.8143	0.35445	0	3.5985	7.932	5.3364	0.5172	0.432	4.9835
RS_G6759__XAF1__XAF1	0.70494	0.24912	0.077767	3.8743	4.3757	0.34105	0.51684	0.37371	8.1182	5.2741	3.6319	3.557	0.3472	4.516	7.9514	1.8859	0.74722	0.55715	0.27561	0.070228	0	0.25471	0	2.2428	4.2314	0.15909	0.9767	0.050434	0.10585	0.24478	0.10335
Meth__cg07775675__SPHK1	0.048551	0.055529	0.053861	0.042589	0.067183	0.05313	0.040231	0.056432	0.059473	0.11486	0.10515	0.053409	0.3357	0.059047	0.16079	0.073765	0.049546	0.051064	0.074343	0.10666	0.048435	0.07519	0.087393	0.043561	0.052642	0.32929	0.09382	0.047402	0.056309	0.15968	0.041377
Meth__cg11930592__MSX1	0.036783	0.039602	0.04712	0.030736	0.025955	0.051947	0.19589	0.027184	0.041521	0.03152	0.81128	0.70876	0.062348	0.036348	0.086171	0.028958	0.51094	0.50152	0.032192	0.8832	0.052664	0.88981	0.061697	0.034211	0.065875	0.02303	0.071598	0.042733	0.038462	0.56416	0.037999
RS_G5964__IFI6__IFI6	5.3782	8.5811	5.9672	11.3914	7.0701	4.3614	9.5009	7.664	12.1836	9.3088	10.0121	9.795	4.292	5.2167	14.3723	6.944	9.5876	8.5173	6.977	6.6483	4.6766	6.3087	6.9747	6.9378	10.5253	8.4812	9.361	7.8955	7.5298	4.9839	3.1302
Meth__cg13799206__ASRGL1	0.095206	0.063399	0.164	0.020308	0.026843	0.95013	0.030381	0.027753	0.068293	0.038212	0.59316	0.46028	0.025902	0.02817	0.13156	0.061462	0.50852	0.50466	0.023023	0.61518	0.047754	0.53225	0.046228	0.025758	0.029921	0.029112	0.0823	0.031937	0.030517	0.85533	0.032918
Meth__cg25070010__MYRIP	0.038653	0.33815	0.88417	0.15152	0.6263	0.050368	0.65083	0.057296	0.62007	0.075357	0.53397	0.029319	0.454	0.047074	0.1094	0.7042	0.086621	0.075617	0.088538	0.53381	0.64901	0.86374	0.1458	0.036277	0.067696	0.80302	0.12139	0.044045	0.67871	0.22371	0.74563
Meth__cg26390526__FLG	0.8772	0.042521	0.85113	0.47975	0.066208	0.29524	0.66625	0.23887	0.1566	0.68885	0.54787	0.045537	0.20101	0.63357	0.11397	0.10871	0.10824	0.10746	0.89128	0.77665	0.14884	0.19504	0.080599	0.31822	0.27513	0.43952	0.097436	0.32259	0.089027	0.074439	0.18012
Meth__cg10305797__UNQ467	0.83815	0.081272	0.90325	0.80811	0.095983	0.77086	0.82757	0.74507	0.3895	0.85683	0.84607	0.023164	0.51905	0.46435	0.035297	0.02241	0.80646	0.84126	0.91508	0.10595	0.70273	0.2242	0.25599	0.26242	0.23914	0.69137	0.36993	0.85738	0.4162	0.78063	0.70979
RS_G13241__LONRF2__LONRF2	3.7903	0.13384	4.3477	6.6943	2.2956	4.2931	1.4733	7.8064	0.33337	0.59924	0.20636	0.11329	0.35946	0.8376	0.035217	0.26581	4.131	5.2239	0.7994	0.66303	4.3186	0.070664	0.30533	1.1188	0.15278	4.0044	3.3933	4.6452	3.8043	3.1376	3.1669
Meth__cg19771589__ZIM2	0.36327	0.05994	0.16632	0.28085	0.44696	0.36423	0.76194	0.7456	0.66277	0.37352	0.18157	0.1392	0.083465	0.37528	0.17178	0.079118	0.38462	0.2047	0.26382	0.3785	0.26255	0.59242	0.38315	0.22268	0.27418	0.15074	0.44266	0.063294	0.096485	0.59574	0.091481
Meth__cg11928635__ZNF318	0.046456	0.025782	0.055716	0.031943	0.1227	0.028728	0.029225	0.034282	0.024071	0.028818	0.14097	0.045802	0.038175	0.066024	0.067281	0.025421	0.03317	0.058023	0.048815	0.075032	0.05072	0.51325	0.077019	0.034853	0.024937	0.045119	0.15059	0.04185	0.051407	0.065258	0.039902
Meth__cg08409225__OBFC2B	0.054349	0.049348	0.30179	0.26791	0.76584	0.25066	0.20112	0.10118	0.1117	0.11534	0.21401	0.27594	0.33103	0.35286	0.26384	0.036929	0.070516	0.22922	0.11972	0.24011	0.16352	0.54859	0.13049	0.05546	0.051141	0.15979	0.097561	0.20713	0.24837	0.087329	0.40516
Meth__cg09542745__SFRP5	0.36586	0.067271	0.73076	0.055774	0.62314	0.56655	0.09922	0.074198	0.41188	0.074283	0.81698	0.042583	0.27415	0.066007	0.086886	0.035874	0.88302	0.89221	0.76573	0.87121	0.59063	0.89443	0.1267	0.059772	0.042414	0.15621	0.24031	0.16461	0.44126	0.73527	0.07106
Meth__cg04195127__WFDC1	0.081364	0.060436	0.62937	0.75313	0.039273	0.36285	0.95425	0.34888	0.91084	0.26098	0.78577	0.056954	0.76046	0.046368	0.037198	0.026183	0.40485	0.58624	0.11871	0.080925	0.18602	0.062592	0.14335	0.027295	0.028976	0.08684	0.074656	0.92969	0.08101	0.51031	0.06488
RS_G3761__TRIM2__TRIM2	6.299	5.3394	2.5021	4.8596	4.3894	0	5.2157	6.6038	9.3226	5.3512	6.6069	3.2392	5.0518	5.6753	6.4392	2.976	3.4948	2.0666	4.6512	4.5953	2.8767	1.6906	5.532	2.6874	4.5541	6.1299	4.6767	2.2026	0.11351	5.8943	0.11376
Meth__cg05705583__CAMLG	0.067051	0.26866	0.50115	0.64994	0.958	0.81607	0.15239	0.47636	0.057439	0.28253	0.91196	0.15815	0.082768	0.092627	0.33675	0.081041	0.64709	0.15303	0.061825	0.25218	0.44402	0.13901	0.2554	0.038306	0.059335	0.61645	0.14353	0.056018	0.64498	0.16433	0.93781
Meth__cg16986846__SCGB2A1	0.075058	0.036625	0.21086	0.39271	0.63391	0.088225	0.62762	0.55006	0.60803	0.13615	0.10046	0.034849	0.18538	0.73309	0.12784	0.057083	0.056342	0.15278	0.36938	0.22244	0.14196	0.10639	0.10301	0.13376	0.37671	0.06277	0.097322	0.25454	0.17054	0.038391	0.058859
Meth__cg02998425__ADAM21	0.91957	0.022214	0.87992	0.61775	0.060832	0.59729	0.96052	0.34254	0.65188	0.48407	0.28164	0.037316	0.43903	0.74457	0.072522	0.041828	0.14546	0.33397	0.94117	0.0625	0.22864	0.2955	0.058077	0.14016	0.24169	0.36878	0.023889	0.51482	0.55082	0.61029	0.31261
Meth__cg13391638__FLJ13576	0.073346	0.12327	0.80202	0.10281	0.91887	0.16029	0.11803	0.10315	0.095943	0.80007	0.37664	0.079162	0.23904	0.070866	0.50349	0.080724	0.24408	0.10533	0.12211	0.83675	0.29583	0.17035	0.17312	0.059313	0.05526	0.077792	0.13894	0.11922	0.10626	0.16452	0.48697
Meth__cg03940966__THEM4	0.035749	0.035263	0.30757	0.033056	0.88868	0.042723	0.036471	0.041622	0.033927	0.031313	0.074321	0.1326	0.030374	0.029011	0.090242	0.025181	0.031479	0.03666	0.030449	0.056075	0.035487	0.46763	0.060915	0.031572	0.03594	0.77189	0.04417	0.037385	0.12139	0.058127	0.55572
Meth__cg22262168__MOBKL2B	0.076765	0.050186	0.87165	0.75761	0.93481	0.051188	0.057356	0.052055	0.10308	0.067466	0.74048	0.81553	0.29299	0.42388	0.10924	0.085832	0.23305	0.72071	0.19669	0.46382	0.075046	0.15805	0.10062	0.54466	0.071181	0.94521	0.071517	0.087631	0.2419	0.24419	0.32209
Meth__cg01322134__WNT3A	0.46391	0.054177	0.081977	0.042682	0.76468	0.85676	0.19086	0.059634	0.69004	0.032743	0.65963	0.084855	0.049331	0.060454	0.13778	0.064287	0.78131	0.47134	0.92695	0.91768	0.065161	0.93662	0.047922	0.27127	0.053939	0.68693	0.19365	0.053061	0.38549	0.4508	0.6287
Meth__cg12320306__ADM	0.020265	0.023163	0.034331	0.025123	0.026769	0.031921	0.020584	0.033761	0.047638	0.029344	0.082315	0.026077	0.47816	0.028713	0.046734	0.033961	0.041025	0.46534	0.048098	0.044588	0.027962	0.12177	0.045362	0.030182	0.022018	0.028089	0.045691	0.034638	0.046596	0.27544	0.03597
RS_G6363__APOE__APOE	4.2881	4.7187	0	2.382	5.2995	1.3208	2.9543	4.4855	2.5012	3.0563	1.0451	3.614	1.0041	2.1619	3.6414	4.6007	6.7091	5.158	2.8448	2.0232	0.83225	1.4749	4.0786	4.4021	3.4789	2.2518	10.4583	5.5087	5.8134	0.95924	0.56077
Meth__cg21284880__LHFP	0.038032	0.026134	0.071197	0.024507	0.025844	0.28442	0.02395	0.043045	0.058449	0.056781	0.15306	0.035498	0.038905	0.039111	0.060917	0.046564	0.21544	0.042501	0.024549	0.073235	0.045224	0.060499	0.058107	0.019636	0.020343	0.5252	0.065144	0.037306	0.059983	0.060738	0.039093
Meth__cg17469978__CAV1	0.073565	0.12553	0.565	0.4382	0.037877	0.50598	0.03487	0.056812	0.10298	0.040635	0.10294	0.1363	0.76619	0.044752	0.15253	0.032265	0.040709	0.064479	0.23904	0.095389	0.078602	0.87349	0.27916	0.040379	0.02989	0.87243	0.097035	0.10157	0.38802	0.27097	0.47909
Meth__cg24797830__COPS6	0.061261	0.048776	0.042513	0.06378	0.058214	0.063651	0.31455	0.047918	0.057464	0.25246	0.10317	0.03252	0.03915	0.055397	0.10626	0.028622	0.035421	0.06096	0.035433	0.094399	0.083899	0.13402	0.08604	0.048128	0.049664	0.027979	0.15007	0.070437	0.053903	0.12282	0.039097
Meth__cg05511517__NOTCH2	0.073693	0.044296	0.15824	0.046269	0.29313	0.069248	0.094523	0.052848	0.035001	0.27303	0.25859	0.045435	0.073856	0.079166	0.066688	0.052539	0.099093	0.12616	0.069956	0.30685	0.084937	0.25864	0.086598	0.041676	0.13936	0.077871	0.041354	0.080677	0.049346	0.10323	0.05972
Meth__cg11373429__ICAM5	0.18049	0.15434	0.25949	0.12652	0.09973	0.13318	0.16242	0.13475	0.12623	0.12516	0.80139	0.73354	0.88259	0.12868	0.23023	0.10426	0.77533	0.76884	0.49186	0.26576	0.63148	0.81709	0.17316	0.31829	0.09907	0.87843	0.30461	0.25394	0.22885	0.71216	0.12872
Meth__cg16695354__LYSMD2	0.058651	0.11356	0.09456	0.073864	0.047166	0.094563	0.055197	0.069857	0.067782	0.064673	0.17415	0.18406	0.058185	0.07807	0.22634	0.059805	0.068819	0.12069	0.1183	0.12266	0.11472	0.10571	0.15093	0.058458	0.068475	0.071138	0.15816	0.097916	0.066678	0.13788	0.056452
Meth__cg07845566__B3GAT1	0.94318	0.06231	0.29185	0.034534	0.88943	0.94935	0.13523	0.026205	0.049432	0.026863	0.45179	0.14968	0.037553	0.1429	0.079902	0.025426	0.91124	0.97299	0.025396	0.65423	0.65254	0.91617	0.037609	0.043939	0.03101	0.043745	0.1179	0.03109	0.48373	0.92869	0.050105
Meth__cg21572316__ABCA1	0.27305	0.62417	0.46368	0.17036	0.11732	0.080844	0.29128	0.06	0.077011	0.1437	0.86047	0.41201	0.88624	0.051381	0.1188	0.046033	0.95914	0.93848	0.048795	0.34009	0.37909	0.79213	0.26082	0.24139	0.04559	0.9353	0.10162	0.074584	0.080071	0.56492	0.58982
Meth__cg06500079__VPS53	0.031442	0.057703	0.48168	0.47038	0.088527	0.091878	0.046929	0.07364	0.039629	0.068432	0.17182	0.36293	0.27578	0.046264	0.22415	0.91212	0.061822	0.040534	0.74118	0.90154	0.049038	0.082471	0.087553	0.029114	0.072843	0.027237	0.073146	0.073525	0.050328	0.69803	0.039414
Meth__cg23452458__OSBPL7	0.03798	0.20473	0.054054	0.74057	0.42518	0.84191	0.17018	0.15873	0.82956	0.19289	0.11685	0.066287	0.058362	0.026287	0.052909	0.028262	0.064623	0.10073	0.522	0.061782	0.062447	0.051862	0.49581	0.34165	0.02496	0.78175	0.078873	0.93672	0.055018	0.19927	0.055428
Meth__cg22532997__LRRC16	0.061443	0.050376	0.06847	0.059252	0.1082	0.074324	0.061201	0.065662	0.10066	0.047404	0.10885	0.040953	0.077597	0.077135	0.14086	0.072139	0.0652	0.07346	0.083519	0.1259	0.064249	0.11535	0.078427	0.060652	0.054675	0.06706	0.10877	0.0732	0.093272	0.1684	0.091824
Meth__cg08918749__LPL	0.87543	0.15588	0.18739	0.13548	0.88038	0.86145	0.19538	0.11513	0.25774	0.062179	0.79618	0.61913	0.525	0.071348	0.13319	0.42502	0.88035	0.83867	0.1272	0.80762	0.15806	0.8505	0.12977	0.047672	0.043854	0.87765	0.28798	0.061029	0.5333	0.10319	0.41344
Meth__cg06327515__PCDHB14	0.075312	0.026111	0.57689	0.029439	0.91812	0.86716	0.93822	0.035597	0.2735	0.15925	0.43971	0.40246	0.89387	0.61693	0.75171	0.023639	0.87937	0.22219	0.9321	0.21208	0.4001	0.10413	0.084431	0.035547	0.075982	0.7445	0.16274	0.034697	0.10837	0.05917	0.14709
Meth__cg24182328__VMO1	0.83631	0.092834	0.11632	0.24508	0.10554	0.26325	0.78837	0.31852	0.49089	0.75471	0.68768	0.78271	0.10628	0.095662	0.19148	0.079912	0.2083	0.15334	0.26357	0.13166	0.10424	0.35245	0.10805	0.09706	0.063003	0.75315	0.23879	0.11319	0.33202	0.67464	0.40392
Meth__cg18979491__LBP	0.17217	0.048797	0.51741	0.26538	0.088703	0.3393	0.62216	0.24355	0.24041	0.75264	0.43094	0.0578	0.16653	0.34546	0.13072	0.06592	0.27966	0.24283	0.17369	0.072552	0.20113	0.11815	0.064395	0.13314	0.061055	0.12134	0.053702	0.2705	0.15196	0.12079	0.097749
Meth__cg22148243__CXorf38	0.046756	0.028941	0.05222	0.028065	0.035006	0.054486	0.10093	0.03058	0.062291	0.038637	0.062845	0.036571	0.084031	0.052502	0.11755	0.077061	0.036343	0.048391	0.028737	0.12161	0.29128	0.041933	0.17774	0.027556	0.038243	0.069782	0.040082	0.045895	0.053721	0.10802	0.052464
Meth__cg21365235__OCRL	0.59404	0.045603	0.17696	0.45008	0.059991	0.096394	0.61894	0.61997	0.053842	0.12913	0.07295	0.60369	0.43881	0.59779	0.19013	0.035536	0.10563	0.13911	0.51905	0.12581	0.10503	0.51545	0.1003	0.62772	0.032375	0.34069	0.052604	0.60637	0.43549	0.65059	0.047207
RS_G2995__SLC39A14__SLC39A14	6.5459	5.6769	5.6594	5.6152	8.7657	6.1716	7.0063	6.2607	9.1892	6.7042	5.8478	5.3048	7.8421	8.046	5.0282	8.6902	5.9951	5.871	6.4523	7.8138	5.2543	5.461	6.3889	11.4705	6.4913	6.5071	6.5466	6.7714	6.9246	5.5903	7.2669
Meth__cg00888479__SLC24A3	0.047905	0.6701	0.052238	0.027847	0.84312	0.064337	0.22164	0.030045	0.2036	0.22225	0.31529	0.028527	0.49204	0.44991	0.098598	0.027935	0.36284	0.053936	0.67015	0.83616	0.065135	0.090071	0.48088	0.042361	0.13799	0.022385	0.064297	0.03751	0.034699	0.2098	0.035579
Meth__cg01013324__EFNB3	0.23622	0.015208	0.30436	0.06873	0.77835	0.40319	0.046516	0.029246	0.77807	0.2792	0.24847	0.095279	0.099037	0.52135	0.32716	0.19053	0.037527	0.024441	0.18901	0.97443	0.69956	0.45722	0.063888	0.026271	0.37379	0.61239	0.053208	0.049223	0.60016	0.096082	0.064227
Meth__cg07851243__MXRA7	0.027926	0.021083	0.034641	0.022028	0.030076	0.035053	0.031401	0.030627	0.026835	0.043892	0.092492	0.020814	0.026197	0.019205	0.03579	0.028051	0.044919	0.034079	0.033981	0.046394	0.038709	0.076028	0.042261	0.022026	0.059022	0.26745	0.059594	0.028107	0.044376	0.06408	0.045249
