Cell lines	600MPE	AU565	BT474	BT483	BT549	CAMA1	HBL100	HCC1143	HCC1187	HCC1428	HCC1569	HCC1937	HCC1954	HCC202	HCC2185	HCC3153	HCC38	HCC70	HS578T	LY2	MCF7	MDAMB134VI	MDAMB157	MDAMB175VII	MDAMB231	MDAMB361	MDAMB415	MDAMB436	MDAMB453	MDAMB468	SKBR3	SUM1315MO2	SUM149PT	SUM159PT	SUM185PE	SUM52PE	T47D	UACC812	ZR751	ZR75B
Meth__cg01442833__UNG	0.036455	0.036108	0.043613	0.06218	0.042609	0.039733	0.028505	0.024787	0.036695	0.045747	0.025553	0.044605	0.076395	0.025628	0.042724	0.030903	0.029035	0.051746	0.038344	0.028452	0.038957	0.040449	0.031723	0.057907	0.085606	0.038754	0.044351	0.037254	0.062873	0.034151	0.055319	0.033031	0.033563	0.14892	0.044145	0.027041	0.078308	0.039514	0.040808	0.074765
Meth__cg25971347__FOXF1	0.67833	0.037432	0.7081	0.096829	0.96781	0.95307	0.17264	0.036278	0.23256	0.058082	0.054009	0.82019	0.77189	0.71525	0.2666	0.075092	0.054463	0.06487	0.43271	0.97284	0.96086	0.66505	0.069983	0.91418	0.81899	0.92015	0.11375	0.30054	0.94408	0.65989	0.062371	0.026631	0.029412	0.18586	0.04089	0.96403	0.8623	0.67481	0.40537	0.3157
Meth__cg21828898__UBE1DC1	0.031871	0.039811	0.079944	0.38507	0.035674	0.044679	0.075182	0.026882	0.0434	0.043478	0.040155	0.031337	0.068409	0.031616	0.046949	0.053831	0.02504	0.055121	0.030992	0.74162	0.48185	0.67103	0.062242	0.29129	0.10409	0.11575	0.057753	0.025876	0.085883	0.031972	0.076266	0.024103	0.031735	0.03894	0.98009	0.028833	0.13055	0.037417	0.58262	0.82988
EA_G__MSN	6.7845	5.5245	4.0134	4.419	10.3783	4.1022	10.6023	11.3117	10.2913	7.0685	10.7693	9.5137	10.4191	4.3616	4.4627	9.6207	10.8946	10.6461	10.7237	4.1429	4.7797	6.5085	10.1759	5.7957	10.8438	3.9279	8.4521	10.2603	5.0086	9.4747	4.469	10.7101	10.614	10.7822	3.9763	4.674	4.3941	4.086	5.8385	7.8425
Meth__cg06742978__ACCN2	0.067261	0.074345	0.37352	0.54971	0.11542	0.25251	0.18914	0.083153	0.1006	0.55203	0.048938	0.64219	0.5758	0.35771	0.099217	0.10472	0.031132	0.072255	0.027517	0.34517	0.28584	0.070499	0.044994	0.35638	0.34722	0.12304	0.078999	0.061603	0.34952	0.36954	0.082194	0.17619	0.036628	0.32771	0.059238	0.56698	0.23275	0.11697	0.3384	0.044883
Meth__cg10976172__FLJ32130	0.067711	0.39355	0.40618	0.070446	0.26048	0.085447	0.07613	0.039815	0.069186	0.10064	0.072746	0.044512	0.091159	0.078028	0.068379	0.65397	0.066229	0.10352	0.069541	0.081479	0.076628	0.085653	0.083136	0.19319	0.14216	0.28396	0.1094	0.57769	0.12958	0.0828	0.32141	0.078314	0.074867	0.075602	0.061466	0.4666	0.27086	0.091542	0.079028	0.075554
EA_G__ITGB6	8.1454	6.622	7.7948	7.3768	3.2125	3.3883	3.4102	3.6591	3.7683	4.9449	3.1141	8.0836	9.3091	8.4758	5.7738	9.9717	4.1716	9.7912	3.2996	8.1377	7.5547	5.5715	2.9223	9.261	3.4295	7.3265	8.8327	3.2525	3.8967	7.5417	9.0545	5.1371	3.7065	3.1773	8.893	6.4499	6.0937	7.2525	4.2583	3.2175
Meth__cg10691006__MCM2	0.12147	0.64357	0.69391	0.60067	0.6691	0.61052	0.060114	0.066997	0.3879	0.4724	0.058788	0.42402	0.57263	0.49249	0.48069	0.53333	0.29733	0.17984	0.057532	0.19331	0.11111	0.56009	0.065428	0.24482	0.058527	0.8534	0.092615	0.04471	0.21427	0.83438	0.61104	0.041743	0.066443	0.043683	0.75004	0.045198	0.15484	0.3577	0.47095	0.47929
Meth__cg24805239__DFNA5	0.50168	0.023478	0.83046	0.60905	0.031913	0.94933	0.031038	0.9772	0.15395	0.030798	0.048323	0.61842	0.79541	0.07443	0.11715	0.042801	0.17334	0.057774	0.033517	0.91995	0.82814	0.45819	0.021948	0.61509	0.041359	0.48195	0.17694	0.027192	0.93299	0.091563	0.1934	0.027773	0.039433	0.068748	0.66947	0.87482	0.56428	0.035162	0.4661	0.81941
Meth__cg16362133__SLC11A2	0.027498	0.1771	0.7971	0.24287	0.95071	0.63632	0.90028	0.023324	0.021617	0.87646	0.020496	0.087046	0.052816	0.54412	0.023573	0.43607	0.047009	0.042818	0.03777	0.35596	0.2661	0.73114	0.036526	0.030065	0.51949	0.66899	0.083719	0.17647	0.24667	0.046489	0.23933	0.018646	0.024305	0.11991	0.071937	0.015661	0.044488	0.023135	0.54277	0.85502
Meth__cg01405761__MGC34646	0.54594	0.014283	0.025292	0.013815	0.23357	0.59516	0.13665	0.26925	0.015937	0.017103	0.3788	0.6043	0.42727	0.015208	0.016096	0.019143	0.57962	0.032729	0.014688	0.033805	0.11494	0.65877	0.031548	0.030573	0.23219	0.021092	0.025386	0.019439	0.67182	0.10741	0.02259	0.017007	0.023751	0.015093	0.010507	0.2592	0.057914	0.055625	0.051028	0.020346
EA_G__SLC6A15	3.7785	7.1291	3.273	3.5835	3.7372	3.1815	3.6574	6.8971	5.2064	3.5551	7.6077	3.0742	3.4851	3.6928	3.4727	3.4102	7.1976	3.5516	3.4367	3.5232	3.5706	3.5068	5.6345	3.6135	3.5408	3.2714	3.3421	3.831	3.7884	3.3417	7.2049	7.9561	7.7974	3.8068	3.4867	3.9042	3.6704	3.4567	3.4996	6.9265
Meth__cg02490034__MEST	0.91046	0.020071	0.36808	0.1682	0.94264	0.61667	0.81957	0.41917	0.59036	0.050876	0.96047	0.35486	0.88477	0.015312	0.46239	0.95376	0.044961	0.91548	0.75198	0.026468	0.041906	0.45256	0.94508	0.067653	0.45716	0.076163	0.20426	0.94897	0.088871	0.33249	0.033684	0.96191	0.95949	0.50715	0.74798	0.94739	0.90226	0.4295	0.18821	0.10297
Meth__cg06953995__PALM2-AKAP2	0.03849	0.042196	0.43125	0.061552	0.03193	0.53555	0.023386	0.020859	0.035055	0.04219	0.031588	0.062429	0.083712	0.16649	0.044139	0.047681	0.031808	0.059098	0.032092	0.34067	0.27469	0.073438	0.0483	0.10288	0.056929	0.049773	0.051387	0.046955	0.61766	0.03844	0.10278	0.035915	0.031697	0.032017	0.11345	0.13207	0.064151	0.053695	0.039254	0.04307
Meth__cg23808301__PLD2	0.064871	0.054505	0.059931	0.051285	0.058958	0.08681	0.052059	0.61245	0.05442	0.06357	0.057707	0.053611	0.076417	0.040722	0.064662	0.05467	0.060153	0.11513	0.04408	0.044035	0.073712	0.055329	0.067378	0.042654	0.11417	0.062394	0.071407	0.043567	0.16898	0.062871	0.1046	0.043741	0.054019	0.065879	0.039647	0.053416	0.13802	0.055346	0.057434	0.057155
EA_G__CAV2	6.8437	4.5018	3.7097	5.5046	9.6475	3.2968	8.6311	9.8419	4.7699	6.384	6.665	10.2366	8.8897	6.038	6.3564	9.7925	9.8782	9.1849	9.3055	6.8317	4.985	4.251	9.9149	5.9759	8.7015	5.0696	5.7687	8.6755	3.9831	8.9411	6.1201	9.4274	10.0236	8.9668	6.5462	6.8936	3.7499	5.2992	4.0191	4.5273
Meth__cg11208880__LRRC8D	0.019694	0.023961	0.02698	0.01866	0.012503	0.026824	0.021107	0.018043	0.020939	0.018384	0.014003	0.016842	0.029445	0.012889	0.015903	0.01667	0.014989	0.053028	0.4666	0.019044	0.020606	0.017439	0.023423	0.016798	0.024124	0.02931	0.03508	0.014184	0.039727	0.015612	0.036106	0.012577	0.014004	0.014537	0.016598	0.014773	0.06246	0.019901	0.023507	0.023647
Meth__cg13631259__NUDT8	0.095112	0.11103	0.50161	0.34255	0.11607	0.14408	0.049205	0.067273	0.14318	0.10143	0.10339	0.20845	0.21991	0.10175	0.12548	0.13162	0.10968	0.16074	0.096695	0.094229	0.13804	0.44378	0.29535	0.10705	0.099208	0.0993	0.12599	0.074118	0.19382	0.1455	0.13232	0.067578	0.10078	0.071934	0.088439	0.084181	0.14561	0.60467	0.13065	0.11973
Meth__cg24898753__FTH1	0.015413	0.71955	0.090737	0.10143	0.056127	0.55003	0.11878	0.029342	0.018959	0.75923	0.018579	0.21301	0.072801	0.030518	0.041377	0.12401	0.031824	0.02156	0.96695	0.11154	0.07772	0.025326	0.38588	0.14617	0.30307	0.041294	0.32953	0.014777	0.037905	0.2724	0.6795	0.062795	0.026879	0.046473	0.012092	0.017065	0.13475	0.13328	0.018849	0.019812
EA_G__OPTN	7.221	5.4882	5.3369	6.9311	8.3122	6.5453	6.107	7.5186	9.5381	6.9897	6.7986	7.0622	7.4692	7.4404	6.6243	7.2997	8.3212	8.8409	7.0253	5.3053	5.7791	7.3007	8.1823	5.8963	6.7992	4.892	6.3711	7.3498	5.1838	6.837	6.2416	7.8105	7.3452	6.5014	6.3757	5.7857	7.2587	5.688	4.9217	6.1182
Meth__cg20134151__PPP1R14C	0.21995	0.39223	0.93492	0.10634	0.81803	0.89595	0.48204	0.025193	0.46482	0.10048	0.22771	0.71875	0.75696	0.086217	0.30992	0.12475	0.057275	0.12855	0.090696	0.93507	0.92317	0.93671	0.055468	0.9306	0.67879	0.95115	0.067027	0.47352	0.89126	0.11537	0.16682	0.038161	0.024421	0.11232	0.93495	0.85317	0.38457	0.92832	0.70876	0.46403
Meth__cg03455458__FLJ12505	0.4147	0.022171	0.19567	0.060059	0.03182	0.53097	0.10711	0.68737	0.0352	0.67364	0.037656	0.08867	0.3301	0.42683	0.031937	0.029256	0.023539	0.049138	0.022559	0.93048	0.93383	0.058958	0.075717	0.1363	0.72041	0.39245	0.030438	0.034536	0.78048	0.58103	0.045699	0.027309	0.028964	0.023832	0.029822	0.33802	0.3818	0.026703	0.48024	0.49583
Meth__cg04590978__CCNJ	0.43869	0.43727	0.10075	0.083508	0.83596	0.75819	0.21122	0.090663	0.1366	0.10545	0.10381	0.10098	0.21845	0.037236	0.12654	0.89957	0.13356	0.19941	0.038431	0.046788	0.091043	0.46694	0.089681	0.3284	0.37844	0.086139	0.12568	0.064252	0.098951	0.073814	0.20566	0.06363	0.46217	0.068671	0.03783	0.96219	0.11772	0.16343	0.43552	0.93455
Meth__cg19428336__FAT	0.047558	0.033281	0.052269	0.044168	0.045683	0.041999	0.046623	0.036466	0.046125	0.057282	0.050351	0.033358	0.087632	0.036547	0.040383	0.52169	0.039582	0.11364	0.039319	0.042896	0.053464	0.39038	0.061749	0.064593	0.063123	0.05142	0.10784	0.041745	0.08015	0.046767	0.058787	0.047017	0.039394	0.040899	0.0367	0.039604	0.37451	0.050924	0.039855	0.04278
Meth__cg10160407__PDGFRL	0.023239	0.018459	0.027251	0.017105	0.51768	0.030007	0.022029	0.021613	0.021247	0.024136	0.047775	0.035389	0.041925	0.014847	0.023591	0.023512	0.018769	0.043849	0.022468	0.016433	0.028253	0.022105	0.031963	0.01607	0.061709	0.029425	0.038814	0.025546	0.082168	0.025918	0.039048	0.019487	0.023161	0.020745	0.018325	0.017933	0.053314	0.030083	0.022801	0.020092
Meth__cg13325529__TMEM107	0.076742	0.42047	0.3633	0.072024	0.11309	0.091342	0.044597	0.049394	0.086111	0.32662	0.086824	0.092068	0.18074	0.065529	0.066741	0.067955	0.057707	0.11625	0.047068	0.1112	0.15582	0.18101	0.14908	0.098501	0.1858	0.25999	0.12671	0.054753	0.45406	0.26419	0.1418	0.053482	0.047343	0.058125	0.16252	0.30394	0.098318	0.099476	0.11082	0.13745
EA_G__CXorf6	4.6909	4.703	5.4679	5.1907	8.3684	4.5585	6.1312	5.4825	6.7759	4.6782	6.0019	5.4703	7.0092	7.11	4.9661	6.908	5.1928	6.5742	7.0185	5.8373	5.9203	7.2788	7.3823	5.2577	7.3093	5.8459	4.8433	7.1486	6.0344	5.9973	4.9336	6.8324	6.1706	6.6113	5.2559	5.3975	4.9226	5.3042	4.7027	5.0711
Meth__cg12969595__TMEM98	0.035132	0.048	0.69973	0.43562	0.94267	0.37056	0.072826	0.41377	0.041691	0.039802	0.074125	0.28671	0.75978	0.068583	0.081098	0.15765	0.11415	0.081956	0.027611	0.94448	0.9423	0.86223	0.12143	0.18493	0.89988	0.048468	0.099245	0.04205	0.57595	0.46057	0.084973	0.044475	0.038337	0.046487	0.13246	0.93356	0.062316	0.081368	0.15558	0.27264
Meth__cg15531099__LCE1D	0.81173	0.041343	0.92995	0.90359	0.1048	0.53506	0.037664	0.64127	0.61993	0.30213	0.19871	0.58719	0.61163	0.034714	0.59369	0.10096	0.31213	0.11367	0.055215	0.26406	0.37912	0.10698	0.082044	0.92618	0.15029	0.73627	0.13333	0.21468	0.35801	0.038738	0.10605	0.061326	0.071679	0.04472	0.84471	0.54579	0.26837	0.79005	0.53518	0.66118
Meth__cg09835543__DIRAS2	0.07165	0.050945	0.039852	0.024273	0.87754	0.047918	0.10863	0.08965	0.060302	0.036615	0.46044	0.06169	0.74632	0.043282	0.066922	0.068182	0.095034	0.18249	0.48571	0.046522	0.038075	0.15204	0.2491	0.031434	0.92308	0.039681	0.079304	0.35975	0.094153	0.045211	0.077511	0.041806	0.10616	0.23889	0.81196	0.62641	0.068734	0.032229	0.051539	0.054733
EA_G__ALDH3B2	7.8751	9.1519	11.3608	8.8077	5.8866	9.7334	6.226	6.4255	8.223	7.6199	7.7955	6.4469	7.0901	10.0377	10.2674	6.2786	6.047	6.1466	5.7429	8.5602	9.6127	10.4301	5.6515	9.014	5.9874	10.8628	9.2617	5.941	9.5867	9.8864	8.9624	6.0873	8.4091	5.947	8.3315	9.1412	9.1133	9.2081	9.9559	8.9847
Meth__cg22753768__BAP1	0.050487	0.053902	0.12931	0.053689	0.22875	0.069352	0.038399	0.045633	0.058157	0.072226	0.044405	0.08258	0.1233	0.069463	0.064719	0.063442	0.41095	0.08948	0.036366	0.051583	0.059515	0.064991	0.076175	0.1027	0.18666	0.071973	0.070091	0.058165	0.23728	0.062169	0.082604	0.058894	0.050699	0.046859	0.069377	0.049275	0.089176	0.10903	0.048199	0.04885
Meth__cg19246110__ZNF671	0.93293	0.037984	0.96715	0.5773	0.10433	0.95085	0.87797	0.57022	0.96462	0.05058	0.96564	0.055314	0.93965	0.77409	0.96632	0.051801	0.61487	0.62116	0.31637	0.9655	0.59866	0.047953	0.95521	0.61172	0.90538	0.045018	0.12157	0.62846	0.52326	0.95464	0.067991	0.033814	0.034226	0.41131	0.073605	0.44635	0.065594	0.044377	0.23049	0.88628
Meth__cg27067618__CYP4F3	0.08855	0.089527	0.53711	0.37852	0.079858	0.19628	0.15012	0.17027	0.066329	0.21437	0.23001	0.17965	0.14566	0.39841	0.070621	0.19431	0.091667	0.29572	0.074648	0.33822	0.53127	0.10727	0.08717	0.7788	0.14756	0.62848	0.23643	0.19766	0.47864	0.13541	0.27521	0.11335	0.070583	0.10191	0.46678	0.16484	0.54781	0.25907	0.40497	0.19539
Meth__cg08935301__LMCD1	0.045213	0.076532	0.057518	0.059077	0.88231	0.10236	0.74498	0.058442	0.84883	0.064235	0.14061	0.47486	0.67258	0.096254	0.63355	0.88169	0.04709	0.15846	0.077885	0.25008	0.099237	0.079589	0.50345	0.060116	0.56357	0.18338	0.13701	0.41601	0.052632	0.85179	0.067126	0.29411	0.095348	0.52334	0.27869	0.053999	0.088465	0.047985	0.055767	0.18009
EA_G__TMEM45A	3.4262	5.435	3.6833	3.8514	7.4132	3.5319	5.1699	7.2249	4.0808	3.9416	3.8688	8.9489	7.9683	3.4496	6.9746	6.5289	6.6702	7.6299	7.5793	2.931	3.9082	4.449	8.7799	5.8345	6.7967	3.7988	7.9835	5.7699	4.2971	7.4867	5.4476	8.3158	10.5267	8.06	7.0406	8.6417	3.2231	4.2422	2.72	3.9655
Meth__cg12687990__	0.22206	0.03969	0.12127	0.33217	0.24047	0.36375	0.15256	0.25646	0.039895	0.056574	0.074401	0.81243	0.66612	0.058052	0.19861	0.081604	0.052801	0.3258	0.037484	0.040787	0.046408	0.34603	0.043617	0.19917	0.32178	0.27744	0.14623	0.09465	0.35907	0.21988	0.092829	0.037113	0.043043	0.18913	0.04391	0.33631	0.054565	0.20859	0.039084	0.041803
EA_G__CBS	7.0589	6.0183	6.8644	7.8401	9.0857	7.647	7.5882	9.2635	9.2842	6.7205	9.6882	7.1591	8.5151	9.263	5.6043	7.5502	7.8766	8.7068	7.3245	9.4515	8.8345	7.1885	9.0144	7.688	5.3261	6.5421	5.482	7.0675	9.0555	9.6469	5.8576	9.2847	6.0992	6.8798	8.4996	6.3619	6.6944	7.9116	5.7228	7.359
EA_G__PDGFC	6.2406	5.2252	4.5988	4.6285	6.9602	4.254	6.294	6.6341	6.9329	4.128	4.3127	5.6638	7.0851	5.5828	6.1259	5.5105	6.0058	6.6886	6.8017	4.0501	4.408	3.7897	6.6632	4.9434	8.0265	5.6458	4.57	5.7232	5.3536	5.982	4.9157	8.2663	6.9944	7.0339	3.9536	5.2456	6.1582	3.8801	5.4219	5.5455
EA_G__ANXA1	9.3451	3.6072	4.0476	6.3945	10.2017	3.5434	9.8127	10.6675	5.6443	3.241	9.4661	10.7509	10.8582	5.3532	5.1369	10.5083	10.031	11.0436	10.0326	3.448	3.7029	7.6301	10.0666	7.3355	9.9841	4.7581	8.4359	10.6138	3.764	9.3598	5.1137	11.0653	10.5969	9.902	8.9069	8.2487	5.7561	3.9458	3.0291	3.6732
Meth__cg20775254__PROM2	0.036543	0.049188	0.082275	0.071583	0.91298	0.083349	0.74355	0.093197	0.09339	0.21263	0.54263	0.18692	0.057629	0.088085	0.15647	0.053723	0.92152	0.086994	0.4843	0.19737	0.12521	0.062873	0.9104	0.059141	0.85301	0.063473	0.064675	0.91285	0.066948	0.05842	0.059881	0.69326	0.039992	0.90239	0.11714	0.032574	0.13097	0.17237	0.050218	0.040371
Meth__cg24646710__FLJ23191	0.37142	0.026227	0.10223	0.024589	0.032536	0.21923	0.17957	0.059717	0.038799	0.02856	0.043528	0.40728	0.39525	0.022242	0.025593	0.045646	0.11811	0.065097	0.03022	0.3677	0.27719	0.068437	0.056781	0.12623	0.064898	0.66079	0.1108	0.037586	0.32252	0.073251	0.032687	0.033474	0.028927	0.047209	0.023928	0.069051	0.10773	0.034246	0.036126	0.028125
Meth__cg12653105__PLP2	0.67898	0.11001	0.035011	0.49477	0.022447	0.026353	0.029471	0.025886	0.26266	0.024134	0.032301	0.84902	0.1809	0.64955	0.25926	0.78913	0.022087	0.34278	0.016542	0.066928	0.048909	0.676	0.16601	0.56191	0.032187	0.47352	0.36753	0.59813	0.65387	0.024005	0.65174	0.18437	0.030962	0.30988	0.026122	0.023921	0.045426	0.60432	0.356	0.021746
Meth__cg18380975__C6orf1	0.05794	0.048356	0.053366	0.046387	0.039701	0.072153	0.040117	0.068258	0.060715	0.049084	0.063368	0.10044	0.075109	0.031444	0.052776	0.037296	0.034606	0.18725	0.030581	0.050579	0.05906	0.05824	0.050882	0.054127	0.082203	0.066355	0.070042	0.047467	0.098345	0.060916	0.05383	0.037661	0.055594	0.036939	0.092201	0.034611	0.098103	0.043288	0.046576	0.052354
Meth__cg21604856__SUHW1	0.56026	0.067476	0.8191	0.82589	0.11175	0.70626	0.56098	0.55185	0.60837	0.095147	0.47863	0.4228	0.49046	0.054096	0.47216	0.42121	0.076366	0.12364	0.042418	0.6494	0.17619	0.76456	0.11023	0.69948	0.11253	0.18134	0.072924	0.17739	0.1333	0.066038	0.091028	0.05963	0.31704	0.087076	0.52693	0.20362	0.11903	0.57372	0.29943	0.3037
EA_G__MGAT4A	7.1175	7.2337	7.9405	6.6441	3.5648	7.0458	3.4187	6.4377	7.0051	8.7133	3.9622	6.597	7.0333	7.4289	7.2257	7.3125	6.0781	7.3453	3.4221	6.2895	7.3787	7.4632	4.2994	7.5161	4.4567	7.106	7.0817	5.0159	5.7758	7.1053	6.8743	4.1153	5.0296	3.4517	7.4609	6.3828	5.6407	6.6198	5.7478	4.6306
EA_G__STAC	4.6901	5.967	4.4744	4.4739	8.7517	4.4143	7.3387	8.7019	5.2245	4.1802	4.3895	6.5323	7.7776	4.7595	4.569	6.183	6.74	6.7671	7.8582	4.503	4.5206	4.5124	6.7276	4.6546	7.5021	4.3421	4.3729	6.1613	4.7293	8.0612	6.4295	4.531	5.9112	7.5436	4.6565	4.9889	4.5177	4.371	4.5517	4.6534
EA_G__C3	11.1381	4.8038	4.907	4.8165	5.0298	4.8716	6.9961	10.3847	6.4352	4.7003	11.1099	9.6805	5.2872	5.1273	8.1162	8.8543	5.0106	10.7164	5.3388	4.993	5.0779	5.4296	5.4559	6.1123	4.8816	4.7966	5.3727	8.5146	5.5679	7.9587	5.181	5.009	12.2114	8.5831	5.4673	5.676	6.1862	5.3649	4.9409	5.0681
EA_G__THBS1	10.1181	8.8537	6.8427	9.5472	11.7756	9.5093	9.0216	12.1592	9.5535	6.256	5.7423	9.8642	11.2382	7.5699	6.3827	11.5562	10.0309	8.1139	11.2999	8.4058	9.8527	9.6869	9.8837	9.7727	10.2805	7.7776	10.0528	7.0435	10.1956	8.3095	8.4328	5.1794	11.4742	11.5545	7.7318	8.0413	8.8181	8.8273	5.1516	5.3147
EA_G__C1orf34	8.0896	8.7299	8.6653	9.5229	4.3849	7.8825	5.2099	4.9498	6.4694	10.7155	4.7666	6.0973	5.9825	8.7478	8.1981	5.8414	4.7716	8.2159	4.4583	7.4708	8.655	7.6569	4.7734	7.5177	4.9479	9.2873	8.812	5.5654	7.8876	8.5069	9.2993	4.8324	4.8993	4.8296	8.0572	7.8552	8.6739	9.9698	7.8377	8.6777
EA_G__MB	5.5817	7.1763	7.2958	5.4405	5.2965	6.4939	4.2411	4.99	4.7298	5.3755	4.4841	5.2556	5.9544	6.8244	8.1329	5.7617	4.0266	5.7767	4.4095	5.9646	5.6589	5.4337	3.8807	7.0531	4.2898	7.3515	7.1651	3.9061	5.9651	7.2389	7.5111	4.3969	4.8076	3.9391	5.781	6.3506	5.5164	6.4085	7.0086	6.8752
EA_G__REEP6	7.2756	7.3124	8.0118	9.1556	6.6815	8.2179	7.984	7.8251	7.3053	9.2159	7.4347	7.4719	7.15	9.761	8.9474	7.5053	6.5065	6.8337	6.7464	8.4331	8.6279	8.0963	7.2691	8.1977	7.1275	9.1377	6.3806	6.8712	10.0931	7.9594	7.8307	7.1074	7.1343	6.4064	7.4075	7.6949	9.7124	9.2173	9.9128	8.8387
Meth__cg18525740__ZNF346	0.05456	0.043677	0.052012	0.033395	0.035001	0.064885	0.030107	0.08534	0.030323	0.034873	0.066378	0.034169	0.5664	0.032569	0.04314	0.039861	0.039797	0.10787	0.031172	0.038065	0.05774	0.045307	0.06443	0.033441	0.11294	0.048464	0.059013	0.044408	0.08125	0.038795	0.080179	0.035605	0.029977	0.039634	0.029883	0.033121	0.058401	0.047232	0.037516	0.045144
Meth__cg19237753__PTPNS1	0.1545	0.37306	0.53564	0.75902	0.13199	0.75156	0.042232	0.63748	0.45695	0.16158	0.058454	0.13546	0.25904	0.089718	0.39367	0.046814	0.057268	0.11273	0.042838	0.85929	0.76086	0.094218	0.29424	0.16607	0.27021	0.18559	0.102	0.054128	0.13624	0.13145	0.10863	0.094094	0.037894	0.038134	0.034253	0.83313	0.093627	0.24654	0.16229	0.39548
Meth__cg15767406__ZNF660	0.3189	0.025519	0.36896	0.088942	0.24494	0.39771	0.12487	0.74056	0.29137	0.31861	0.20859	0.61261	0.10127	0.033109	0.16211	0.10692	0.2686	0.047011	0.059615	0.079303	0.083052	0.76681	0.15034	0.1631	0.0735	0.11215	0.10796	0.061825	0.21966	0.096084	0.099441	0.039278	0.067362	0.04159	0.2061	0.10284	0.12645	0.37365	0.053632	0.065649
Meth__cg06186861__ZNF501	0.87074	0.049734	0.79956	0.054842	0.91917	0.89038	0.26439	0.9266	0.10336	0.077431	0.87701	0.15439	0.75688	0.37534	0.097584	0.068877	0.067059	0.10883	0.056629	0.73613	0.46592	0.27569	0.10211	0.066858	0.6073	0.44239	0.17997	0.040047	0.39256	0.07978	0.07561	0.049744	0.088205	0.073196	0.24574	0.094812	0.11483	0.29549	0.089722	0.21957
Meth__cg10524192__OPRS1	0.03597	0.046966	0.57057	0.031176	0.025288	0.038864	0.034902	0.063126	0.35516	0.02551	0.058888	0.031083	0.065832	0.015702	0.29205	0.037198	0.028287	0.058957	0.018728	0.88293	0.54991	0.027117	0.045525	0.022167	0.041657	0.044243	0.034311	0.033082	0.095316	0.032101	0.079725	0.025181	0.034978	0.023993	0.018077	0.016123	0.07522	0.029459	0.036026	0.031417
Meth__cg07267296__HMBOX1	0.033357	0.029533	0.039924	0.032684	0.030508	0.057045	0.077074	0.050502	0.0281	0.043716	0.029664	0.049327	0.064718	0.026694	0.027911	0.036794	0.025022	0.064982	0.019591	0.033618	0.036277	0.94924	0.046651	0.07227	0.54577	0.050774	0.035099	0.038171	0.042794	0.035023	0.041112	0.036782	0.042872	0.027577	0.10951	0.036041	0.11382	0.03818	0.34168	0.25133
Meth__cg00635481__ZNF76	0.045094	0.10714	0.033825	0.021072	0.026257	0.090946	0.028596	0.090746	0.050461	0.12268	0.050133	0.033629	0.29693	0.018782	0.056441	0.027564	0.028484	0.063918	0.025018	0.032478	0.071376	0.028732	0.047749	0.065176	0.079977	0.028979	0.045496	0.032344	0.065264	0.036845	0.10701	0.022739	0.019569	0.030228	0.024883	0.046463	0.12437	0.037939	0.028003	0.029449
Meth__cg01431114__PDE10A	0.6264	0.16348	0.11535	0.056697	0.82143	0.91408	0.22325	0.097706	0.11363	0.071654	0.52159	0.35937	0.57443	0.11998	0.12025	0.069374	0.11161	0.1275	0.041779	0.66811	0.30439	0.34899	0.064733	0.66046	0.22385	0.076621	0.16143	0.10839	0.26349	0.87733	0.12418	0.058424	0.054895	0.14488	0.063699	0.1933	0.89584	0.080505	0.36874	0.061817
Meth__cg08080029__CHD5	0.062687	0.066943	0.076494	0.074084	0.059813	0.2309	0.18321	0.054207	0.14719	0.094503	0.94451	0.06905	0.074088	0.19863	0.11898	0.060704	0.072442	0.12392	0.62916	0.069801	0.064237	0.054075	0.068883	0.36146	0.95063	0.091135	0.14112	0.089002	0.8749	0.071847	0.13481	0.19805	0.059847	0.80321	0.062147	0.37419	0.086907	0.10262	0.062287	0.065004
Meth__cg14337900__MYH9	0.081982	0.063756	0.066494	0.042526	0.045604	0.076958	0.057085	0.11813	0.043268	0.052169	0.074977	0.055611	0.074297	0.031957	0.045404	0.048003	0.05154	0.11167	0.039546	0.037216	0.080424	0.047676	0.46475	0.042084	0.16884	0.075131	0.062669	0.04293	0.12459	0.06046	0.12632	0.051086	0.049172	0.035325	0.043438	0.038305	0.12916	0.043574	0.046588	0.051363
Meth__cg20701850__RECQL	0.051607	0.043819	0.10054	0.047598	0.053369	0.06239	0.11645	0.049064	0.04819	0.056038	0.49173	0.054529	0.09201	0.039834	0.048358	0.041606	0.038617	0.14641	0.049794	0.063853	0.061947	0.071217	0.044513	0.17289	0.31187	0.053572	0.079154	0.042203	0.45666	0.051399	0.077891	0.046063	0.047476	0.043413	0.053158	0.059451	0.092726	0.071921	0.050974	0.065352
Meth__cg09440340__C1orf161	0.022491	0.013458	0.021681	0.062179	0.088401	0.068353	0.88818	0.9465	0.26402	0.060992	0.7782	0.014843	0.034168	0.020265	0.21568	0.12442	0.5817	0.027292	0.026781	0.019244	0.040574	0.39264	0.29039	0.021417	0.81055	0.02872	0.034641	0.91936	0.074397	0.1141	0.046144	0.43185	0.63033	0.071714	0.022993	0.10635	0.11755	0.025029	0.043318	0.14199
