Cell lines	AU565	BT474	BT549	CAMA1	HCC1143	HCC1187	HCC1428	HCC1569	HCC1937	HCC1954	HCC2185	HCC3153	HCC38	HCC70	HS578T	LY2	MCF7	MDAMB134VI	MDAMB157	MDAMB175VII	MDAMB361	MDAMB415	MDAMB453	SKBR3	SUM1315MO2	SUM149PT	SUM159PT	SUM185PE	SUM225CWN	SUM52PE	T47D	UACC812	ZR751	ZR75B
Meth__cg02433671__RGL3	0.035935	0.030846	0.97669	0.63179	0.96479	0.12812	0.040266	0.94744	0.98638	0.96664	0.35446	0.96784	0.66883	0.11398	0.81024	0.98044	0.9721	0.97273	0.97132	0.97763	0.96592	0.7126	0.065528	0.085685	0.63638	0.95695	0.47819	0.022495	0.030961	0.97652	0.059363	0.041598	0.042096	0.035875
Meth__cg25519930__CACNA1C	0.1516	0.1745	0.052825	0.90898	0.41897	0.38761	0.12746	0.43859	0.37836	0.81628	0.31206	0.23124	0.057624	0.24221	0.050924	0.15058	0.068363	0.051652	0.052172	0.41072	0.074286	0.43016	0.86231	0.13947	0.035125	0.31445	0.50461	0.28068	0.086253	0.56883	0.25605	0.092831	0.27228	0.20956
Meth__cg25554036__WFS1	0.30926	0.20742	0.38233	0.058827	0.19652	0.081251	0.081906	0.038452	0.23637	0.57216	0.10492	0.12134	0.051587	0.093725	0.023603	0.45901	0.10806	0.16649	0.52759	0.078281	0.11163	0.12561	0.17822	0.16322	0.047911	0.031117	0.10878	0.097773	0.54958	0.11596	0.36422	0.29446	0.15181	0.3881
Meth__cg00888479__SLC24A3	0.6701	0.052238	0.84312	0.064337	0.22164	0.032915	0.030045	0.2036	0.22225	0.31529	0.05308	0.49204	0.44991	0.098598	0.027935	0.36284	0.053936	0.057049	0.53114	0.67015	0.065135	0.060514	0.090071	0.48088	0.042361	0.13799	0.24269	0.035333	0.15818	0.022385	0.064297	0.03751	0.034699	0.035579
Meth__cg15784615__LTBR	0.029765	0.31279	0.075245	0.074072	0.018505	0.054766	0.19151	0.026413	0.21127	0.06887	0.043593	0.034782	0.02894	0.078193	0.033989	0.031177	0.028579	0.0763	0.3287	0.074135	0.24511	0.063295	0.067122	0.13558	0.029725	0.026216	0.027443	0.024465	0.02766	0.1789	0.064956	0.12006	0.028311	0.030218
Meth__cg15320474__UBD	0.053608	0.73548	0.038844	0.57624	0.86805	0.4103	0.13056	0.76804	0.70764	0.55644	0.28344	0.65799	0.89327	0.12168	0.043593	0.23451	0.20068	0.28195	0.44106	0.47727	0.22826	0.068799	0.19729	0.15523	0.1626	0.54316	0.044523	0.43692	0.10933	0.29137	0.13376	0.37969	0.40811	0.49143
Meth__cg24434118__TP53INP1	0.16287	0.16136	0.052666	0.12649	0.31356	0.53318	0.093082	0.10429	0.061548	0.29054	0.47926	0.94821	0.10191	0.13391	0.037848	0.088269	0.12288	0.059277	0.07988	0.041219	0.10072	0.052991	0.076078	0.15315	0.33149	0.037373	0.11772	0.041508	0.034441	0.055684	0.22904	0.041317	0.067422	0.45266
Meth__cg02286642__ZNF254	0.44345	0.11191	0.08069	0.256	0.92106	0.64787	0.89968	0.86589	0.15768	0.41892	0.65406	0.075045	0.099595	0.13541	0.45289	0.071952	0.078075	0.40714	0.49411	0.091872	0.091965	0.1764	0.86098	0.57422	0.078352	0.67014	0.091262	0.90065	0.53962	0.88917	0.17217	0.61104	0.77955	0.81618
Meth__cg15942481__CAPS2	0.081653	0.54776	0.053904	0.053376	0.070049	0.16875	0.062773	0.36596	0.16966	0.14814	0.1317	0.85239	0.21123	0.085414	0.050159	0.049737	0.046974	0.09642	0.065423	0.34047	0.052271	0.32894	0.13791	0.13456	0.40449	0.054697	0.088041	0.22392	0.041889	0.37944	0.070072	0.054511	0.059172	0.1214
Meth__cg13765303__BOC	0.66342	0.46888	0.52647	0.041154	0.10624	0.026948	0.042215	0.032567	0.10798	0.73981	0.27451	0.13914	0.027634	0.14114	0.031947	0.66035	0.60592	0.60518	0.043661	0.20189	0.16905	0.079043	0.73374	0.59023	0.064127	0.061277	0.062022	0.46626	0.57307	0.84681	0.05334	0.50918	0.43052	0.4159
Meth__cg03334529__ZNF663	0.039588	0.57758	0.066829	0.73786	0.57124	0.55366	0.83326	0.71107	0.18991	0.32847	0.27852	0.22534	0.75796	0.11349	0.056673	0.80807	0.65107	0.75636	0.24708	0.045362	0.080281	0.075898	0.23548	0.050634	0.065758	0.068386	0.052277	0.83853	0.037352	0.33265	0.066888	0.1304	0.42397	0.25728
Meth__cg19239342__REEP5	0.068173	0.12556	0.33369	0.092346	0.19064	0.15047	0.08258	0.1198	0.54216	0.31169	0.17725	0.18902	0.066379	0.24042	0.47476	0.12116	0.099086	0.13422	0.21336	0.23791	0.1001	0.15	0.14274	0.16298	0.077313	0.089199	0.080056	0.2933	0.059588	0.070519	0.095147	0.30171	0.077035	0.21152
Meth__cg01427567__TMC4	0.14124	0.2551	0.47201	0.11302	0.093075	0.11883	0.13533	0.13816	0.23739	0.1836	0.12211	0.13581	0.12006	0.14951	0.35813	0.1125	0.097999	0.13345	0.69092	0.12296	0.16573	0.15801	0.14157	0.20409	0.52486	0.12426	0.12146	0.094335	0.12353	0.093271	0.13664	0.11979	0.12567	0.11363
Meth__cg15658426__MGC39633	0.45644	0.078228	0.5391	0.19991	0.27148	0.13557	0.083112	0.082249	0.76254	0.35263	0.12186	0.24008	0.070868	0.22692	0.37106	0.18656	0.10484	0.26328	0.21433	0.1915	0.079202	0.2717	0.17852	0.25695	0.12541	0.083546	0.27887	0.22438	0.13192	0.18446	0.18847	0.066767	0.20568	0.17844
Meth__cg10183248__UBTF	0.094442	0.21959	0.027358	0.020151	0.013115	0.043932	0.029085	0.018949	0.39819	0.055977	0.096578	0.054496	0.017555	0.03891	0.020907	0.044065	0.029156	0.026942	0.29437	0.047705	0.044088	0.05206	0.048936	0.16519	0.026438	0.021953	0.027546	0.056155	0.047888	0.022244	0.035733	0.029095	0.028706	0.022114
Meth__cg18003791__GABRA3	0.11394	0.34629	0.059067	0.52851	0.14035	0.10054	0.30232	0.42466	0.27229	0.61745	0.1081	0.48497	0.10708	0.16676	0.27844	0.13357	0.10994	0.060066	0.076742	0.058182	0.10704	0.10728	0.49972	0.18336	0.35732	0.065293	0.23483	0.095205	0.091262	0.070444	0.39829	0.047548	0.24855	0.45916
Meth__cg03764161__FAM111A	0.023488	0.57836	0.024353	0.15412	0.058123	0.90197	0.030604	0.63463	0.032234	0.071645	0.87918	0.66654	0.03236	0.084154	0.027831	0.052011	0.06774	0.02938	0.067441	0.055832	0.043981	0.032231	0.050906	0.051433	0.045358	0.030887	0.050562	0.040831	0.02923	0.046458	0.08825	0.048206	0.060556	0.058173
Meth__cg02998425__ADAM21	0.022214	0.87992	0.060832	0.59729	0.96052	0.88027	0.34254	0.65188	0.48407	0.28164	0.54179	0.43903	0.74457	0.072522	0.041828	0.14546	0.33397	0.92567	0.03813	0.94117	0.22864	0.034629	0.2955	0.058077	0.14016	0.24169	0.031694	0.77112	0.046882	0.36878	0.023889	0.51482	0.55082	0.31261
Meth__cg11715903__PLEKHC1	0.028401	0.028645	0.028914	0.029764	0.015674	0.0235	0.025507	0.042122	0.03531	0.10943	0.031045	0.030603	0.019253	0.079433	0.026454	0.035604	0.039679	0.050306	0.030714	0.027572	0.024815	0.085217	0.046753	0.049095	0.028339	0.016465	0.023203	0.017061	0.015644	0.019884	0.043282	0.025409	0.030921	0.02656
Meth__cg01242619__PLEC1	0.061516	0.069439	0.67605	0.063481	0.11441	0.054454	0.091508	0.059834	0.45772	0.27211	0.08028	0.071249	0.10347	0.09815	0.25432	0.066725	0.081414	0.059935	0.8717	0.088765	0.081241	0.12029	0.10837	0.097254	0.094879	0.072633	0.8337	0.12354	0.09608	0.052639	0.050233	0.12352	0.064944	0.058657
Meth__cg02590345__PRG-3	0.062412	0.059067	0.5209	0.058273	0.094444	0.043535	0.27824	0.08162	0.26464	0.38808	0.054772	0.054895	0.12891	0.10112	0.10065	0.2249	0.065833	0.073261	0.091354	0.046409	0.50105	0.11924	0.049189	0.074028	0.04052	0.083137	0.37566	0.045715	0.046617	0.066981	0.073968	0.052677	0.050098	0.045415
Meth__cg15949277__ZC3H12A	0.043824	0.048198	0.45091	0.043174	0.047619	0.051836	0.05189	0.038023	0.039569	0.13684	0.045692	0.042373	0.034081	0.046677	0.63334	0.035466	0.038234	0.057321	0.13292	0.052546	0.062898	0.074337	0.074604	0.098983	0.028822	0.034542	0.051964	0.029861	0.036322	0.034147	0.067199	0.056558	0.073356	0.052141
Meth__cg06433658__FAM63A	0.18104	0.044351	0.051324	0.05799	0.043624	0.10501	0.036225	0.048425	0.054586	0.11963	0.10188	0.046758	0.036291	0.071415	0.02744	0.15211	0.074174	0.14084	0.060273	0.027819	0.059758	0.049131	0.064972	0.069094	0.030789	0.036867	0.042454	0.032208	0.020988	0.02617	0.047172	0.046356	0.030763	0.047709
Meth__cg00617305__TMEM58	0.043854	0.061138	0.038777	0.33182	0.90844	0.050492	0.042255	0.048428	0.06207	0.07704	0.13221	0.0444	0.039511	0.14518	0.037544	0.043662	0.053269	0.035597	0.038759	0.036737	0.046262	0.072194	0.38352	0.043271	0.036593	0.036017	0.041448	0.4089	0.03912	0.32777	0.11849	0.045718	0.47274	0.61329
Meth__cg04527363__GRM7	0.083151	0.75659	0.45654	0.74305	0.32255	0.88621	0.085175	0.64897	0.7402	0.13475	0.58641	0.70604	0.40217	0.16983	0.074108	0.12142	0.11417	0.89306	0.2278	0.8474	0.078752	0.11231	0.59117	0.098135	0.081972	0.78245	0.21986	0.63572	0.077186	0.36873	0.14828	0.26985	0.15638	0.32786
Meth__cg10394385__ERBB2	0.098554	0.095207	0.10298	0.10414	0.070755	0.10359	0.11408	0.95701	0.11734	0.096553	0.10238	0.082746	0.084091	0.18363	0.091897	0.14048	0.11419	0.10142	0.10355	0.084557	0.093801	0.15849	0.18524	0.15279	0.075713	0.088595	0.085203	0.064879	0.13516	0.088536	0.10693	0.091701	0.088601	0.08909
Meth__cg09204187__FLJ14346	0.33077	0.79095	0.051261	0.11141	0.043721	0.52666	0.56877	0.032864	0.78793	0.20076	0.5149	0.075583	0.058749	0.099806	0.23236	0.55673	0.33261	0.24761	0.59085	0.89659	0.40741	0.11229	0.30048	0.49272	0.032698	0.039689	0.060331	0.74909	0.45811	0.036196	0.25966	0.62732	0.11231	0.042977
Meth__cg02237119__WBSCR27	0.098979	0.29833	0.65562	0.20857	0.061874	0.7111	0.13405	0.11677	0.53299	0.38777	0.66452	0.11975	0.067718	0.074277	0.17208	0.4447	0.37427	0.13395	0.42609	0.12214	0.25371	0.086914	0.086967	0.17078	0.043724	0.084316	0.065748	0.18571	0.061764	0.061316	0.07289	0.089165	0.059934	0.060017
Meth__cg08817120__DKFZP686A01247	0.038437	0.050878	0.59041	0.041001	0.034056	0.03585	0.047838	0.053212	0.03989	0.063048	0.03758	0.029357	0.07391	0.062689	0.061435	0.55919	0.072956	0.036885	0.054692	0.033501	0.047349	0.06673	0.062655	0.079215	0.029482	0.029828	0.029415	0.025753	0.031128	0.03401	0.15369	0.047616	0.034755	0.33123
Meth__cg17028039__FGFR2	0.048923	0.052679	0.053655	0.069251	0.098945	0.024904	0.029627	0.058372	0.081978	0.44574	0.032882	0.026051	0.062633	0.10308	0.084958	0.83562	0.63652	0.13612	0.08665	0.038725	0.12265	0.027594	0.094379	0.066874	0.043496	0.038375	0.05635	0.02269	0.043655	0.089948	0.083218	0.026224	0.035392	0.062106
Meth__cg06822229__ACSL4	0.049987	0.13296	0.054279	0.080743	0.56196	0.61257	0.64085	0.23476	0.14092	0.19426	0.54412	0.60474	0.51824	0.15666	0.076467	0.060636	0.054067	0.57293	0.23329	0.54466	0.079209	0.47311	0.32981	0.13253	0.55184	0.064906	0.56783	0.084959	0.055312	0.28821	0.1044	0.63381	0.45848	0.092167
Meth__cg22854223__CD82	0.024287	0.038012	0.04768	0.032392	0.043518	0.028276	0.032802	0.0454	0.043397	0.069674	0.038753	0.035996	0.029773	0.19487	0.02969	0.079197	0.22536	0.10797	0.040618	0.028576	0.041329	0.056178	0.047286	0.059135	0.034368	0.027548	0.031103	0.045214	0.029093	0.036996	0.045144	0.090189	0.035395	0.045759
Meth__cg07034561__TSGA2	0.38666	0.18486	0.31463	0.12257	0.0553	0.058861	0.069462	0.2285	0.16652	0.47887	0.077407	0.1039	0.052806	0.088841	0.12387	0.183	0.070143	0.077937	0.10363	0.062209	0.12444	0.094074	0.10136	0.24463	0.061044	0.048923	0.046206	0.071468	0.067083	0.079915	0.10736	0.06207	0.10261	0.12586
Meth__cg26045434__HR	0.12214	0.42825	0.87693	0.40497	0.066466	0.057771	0.1185	0.096056	0.12683	0.34756	0.10131	0.19354	0.11025	0.16191	0.45264	0.55607	0.6279	0.052712	0.88647	0.6328	0.13354	0.1275	0.1279	0.45928	0.52283	0.053795	0.13243	0.077808	0.069128	0.63442	0.15268	0.27196	0.092704	0.104
Meth__cg13516796__ALG1	0.036179	0.059161	0.038872	0.054079	0.063369	0.069063	0.040916	0.040391	0.056423	0.1077	0.051821	0.33044	0.038605	0.053128	0.045344	0.027272	0.029656	0.048844	0.028002	0.031935	0.029482	0.048995	0.052177	0.051481	0.029731	0.043033	0.04244	0.045615	0.032555	0.065336	0.062224	0.037478	0.043713	0.03759
Meth__cg08088390__DEFB125	0.084438	0.72163	0.041132	0.71882	0.75259	0.8495	0.66775	0.70927	0.7256	0.7327	0.5708	0.22878	0.3772	0.15936	0.10202	0.33873	0.16551	0.59604	0.088569	0.48013	0.14965	0.09457	0.081723	0.18516	0.096774	0.18755	0.1211	0.87638	0.048229	0.60805	0.14337	0.27846	0.44994	0.51614
Meth__cg24120841__THRB	0.066886	0.054997	0.12483	0.04948	0.063247	0.043986	0.050531	0.053722	0.033462	0.075647	0.044584	0.070019	0.050685	0.066366	0.37474	0.048701	0.053956	0.051217	0.051134	0.037088	0.074596	0.067531	0.097556	0.090242	0.038217	0.050062	0.03865	0.046057	0.047125	0.038241	0.04901	0.054855	0.046254	0.04669
Meth__cg22838674__PROSC	0.027197	0.038613	0.030268	0.032097	0.017434	0.025286	0.042328	0.05427	0.028847	0.21096	0.030772	0.023906	0.023467	0.049145	0.042215	0.037502	0.030833	0.1379	0.042741	0.067735	0.032483	0.058726	0.054671	0.045902	0.031341	0.025755	0.045778	0.026804	0.025597	0.022567	0.046882	0.035463	0.026552	0.030886
Meth__cg12435758__LGI2	0.01677	0.021301	0.098653	0.022798	0.013091	0.020742	0.022583	0.020625	0.029485	0.045779	0.013927	0.019943	0.025421	0.043024	0.015076	0.017384	0.022148	0.023456	0.02463	0.021284	0.024846	0.037216	0.035285	0.050755	0.022909	0.015929	0.019038	0.022133	0.018932	0.014666	0.031956	0.029573	0.019759	0.022121
Meth__cg13364756__CYP3A43	0.097206	0.091689	0.5311	0.077266	0.8769	0.41225	0.11451	0.82936	0.57974	0.2244	0.30985	0.75644	0.86855	0.20715	0.10381	0.045643	0.069488	0.09324	0.33434	0.058971	0.10577	0.13151	0.18144	0.19843	0.86696	0.49968	0.16554	0.56541	0.072591	0.25519	0.19342	0.11212	0.088645	0.094356
Meth__cg05988645__MGC2654	0.036878	0.31375	0.058461	0.04268	0.039875	0.047348	0.04469	0.29178	0.078297	0.10889	0.050472	0.062375	0.045944	0.059739	0.45052	0.33125	0.57296	0.42926	0.064206	0.06458	0.11071	0.097679	0.22836	0.06693	0.042791	0.044977	0.75796	0.041534	0.04258	0.049504	0.086461	0.22035	0.045413	0.040458
Meth__cg04887278__RWDD2	0.023841	0.01826	0.18252	0.045917	0.12612	0.024532	0.034131	0.56475	0.26393	0.19504	0.030293	0.041415	0.029792	0.59098	0.81045	0.037658	0.032752	0.83629	0.086115	0.033528	0.02715	0.052314	0.035987	0.064266	0.026441	0.025709	0.9081	0.055914	0.030036	0.02022	0.039494	0.10745	0.029523	0.021736
Meth__cg07684809__MGC26856	0.082391	0.88558	0.86422	0.46922	0.14155	0.89488	0.082009	0.77358	0.12177	0.64514	0.69281	0.56838	0.30515	0.67357	0.094997	0.047586	0.069862	0.8301	0.078575	0.073828	0.4851	0.15262	0.28826	0.10562	0.243	0.69917	0.088994	0.88106	0.42646	0.82345	0.11154	0.70802	0.73919	0.8559
Meth__cg25944100__MS4A3	0.08576	0.7303	0.079383	0.38389	0.66088	0.66638	0.091574	0.25985	0.35394	0.58588	0.42179	0.34367	0.12449	0.17305	0.10277	0.07282	0.12778	0.093069	0.10961	0.43023	0.28727	0.11752	0.22583	0.13687	0.095611	0.085544	0.32459	0.60936	0.088131	0.27894	0.087975	0.080645	0.24024	0.25239
Meth__cg16796590__MFSD2	0.054488	0.064838	0.054045	0.061235	0.04755	0.070323	0.065488	0.075139	0.13243	0.53645	0.077828	0.064838	0.032781	0.10341	0.04	0.70457	0.53027	0.15345	0.065979	0.1073	0.0763	0.12776	0.093759	0.14876	0.027378	0.02846	0.065264	0.082412	0.036541	0.051599	0.18732	0.08298	0.13361	0.10865
Meth__cg03000846__RAC3	0.052198	0.79613	0.8844	0.25557	0.38286	0.2407	0.49661	0.028168	0.95977	0.59755	0.21708	0.45242	0.63124	0.56206	0.9526	0.68227	0.61985	0.03108	0.96952	0.55245	0.93265	0.32386	0.057362	0.18263	0.52379	0.61736	0.97042	0.50434	0.44618	0.01872	0.1515	0.5172	0.023817	0.023589
Meth__cg04739570__PODXL2	0.058281	0.069193	0.67678	0.67613	0.052799	0.065917	0.084987	0.055498	0.61847	0.79551	0.052468	0.11182	0.55203	0.18264	0.32317	0.71109	0.28045	0.060963	0.8478	0.097177	0.73387	0.12336	0.89681	0.098513	0.062706	0.36705	0.083231	0.10311	0.071464	0.070805	0.12386	0.068793	0.058443	0.05713
Meth__cg26745032__REPS2	0.39762	0.043478	0.10461	0.042374	0.057099	0.032915	0.57961	0.067388	0.6189	0.6289	0.032185	0.041921	0.033206	0.64095	0.03057	0.041316	0.04101	0.59735	0.58917	0.56744	0.56084	0.52793	0.42092	0.64911	0.56853	0.032687	0.57726	0.61713	0.047565	0.061224	0.064491	0.5995	0.5709	0.038429
Meth__cg05403071__SNAI1	0.042779	0.88168	0.4221	0.030435	0.030388	0.031499	0.027128	0.24972	0.076998	0.036754	0.027366	0.02804	0.024743	0.06074	0.062235	0.052575	0.1923	0.030952	0.035273	0.10104	0.048914	0.19566	0.59204	0.068755	0.030031	0.022175	0.028647	0.064856	0.03019	0.22147	0.10067	0.36275	0.035185	0.030692
Meth__cg05244766__GSTP1	0.31668	0.59114	0.91995	0.24906	0.096652	0.10259	0.10367	0.092844	0.81803	0.84734	0.14493	0.82193	0.66551	0.25034	0.66779	0.73132	0.10645	0.15052	0.71297	0.079807	0.3036	0.13417	0.22101	0.31736	0.12437	0.17248	0.22364	0.099159	0.11873	0.70816	0.12283	0.10561	0.0508	0.040223
Meth__cg00067471__ATP5D	0.061324	0.090572	0.39372	0.096675	0.212	0.05635	0.087782	0.085263	0.35673	0.14735	0.061668	0.14243	0.075771	0.22115	0.057543	0.092154	0.1859	0.09698	0.31772	0.19642	0.14487	0.13729	0.13895	0.084494	0.046087	0.075986	0.059031	0.10731	0.072675	0.075208	0.14424	0.057761	0.067086	0.065105
Meth__cg08949296__JPH1	0.010386	0.024501	0.98278	0.01979	0.016506	0.027486	0.024796	0.025154	0.030211	0.61899	0.026764	0.033821	0.029565	0.080205	0.026789	0.021107	0.031559	0.050028	0.032714	0.018467	0.031764	0.067624	0.036601	0.028776	0.024932	0.023549	0.029006	0.021277	0.034587	0.02207	0.032132	0.029134	0.030366	0.028717
Meth__cg24313770__CGI-115	0.031407	0.035356	0.52669	0.037631	0.031913	0.037861	0.036015	0.040365	0.032959	0.080006	0.031933	0.027559	0.036175	0.059049	0.040619	0.039876	0.035614	0.13436	0.041421	0.034356	0.04073	0.054875	0.062291	0.075038	0.035106	0.037463	0.040213	0.026266	0.036328	0.034317	0.062533	0.036768	0.037241	0.035471
Meth__cg16812893__KRTAP15-1	0.045859	0.8271	0.17016	0.83603	0.9097	0.84351	0.055101	0.67342	0.34156	0.19177	0.69386	0.59952	0.094978	0.056857	0.06038	0.082529	0.12679	0.48397	0.17155	0.75945	0.20093	0.24091	0.18055	0.098076	0.12588	0.10819	0.09308	0.87451	0.048715	0.13562	0.095746	0.05561	0.43157	0.62722
Meth__cg12563178__PLXDC2	0.038781	0.062256	0.29031	0.053132	0.0363	0.022132	0.037758	0.43075	0.18814	0.080297	0.033249	0.026666	0.03807	0.080239	0.032229	0.045656	0.04179	0.043919	0.065531	0.029226	0.042075	0.38458	0.109	0.077738	0.025067	0.029084	0.032999	0.024612	0.022533	0.032939	0.11315	0.035745	0.030612	0.027128
Meth__cg20970875__ANKRD47	0.03882	0.89569	0.87235	0.68366	0.052179	0.23729	0.10682	0.84113	0.075314	0.46123	0.21675	0.84623	0.19744	0.08891	0.059213	0.05142	0.058231	0.86515	0.048624	0.05954	0.056113	0.084052	0.60474	0.083516	0.35161	0.078784	0.078402	0.044803	0.040444	0.44515	0.11389	0.43094	0.28393	0.47627
Meth__cg13968061__APCS	0.07089	0.3748	0.8993	0.25308	0.54043	0.54907	0.11093	0.52141	0.10637	0.8145	0.42995	0.61399	0.64494	0.32397	0.1454	0.072019	0.10541	0.46025	0.13304	0.40566	0.26879	0.11099	0.16054	0.15882	0.097908	0.8811	0.8898	0.16021	0.31601	0.43118	0.22025	0.10791	0.33903	0.39273
Meth__cg26153631__HOXC10	0.49295	0.068084	0.56454	0.84419	0.045672	0.081877	0.66734	0.05077	0.066536	0.098613	0.084538	0.078652	0.06812	0.11583	0.04842	0.64213	0.82415	0.57624	0.14885	0.068371	0.0633	0.11023	0.086966	0.58863	0.060863	0.05879	0.095573	0.054528	0.060348	0.054012	0.10793	0.069346	0.054539	0.056827
Meth__cg02995295__FLJ30707	0.073522	0.29123	0.57609	0.084879	0.062874	0.032913	0.045178	0.20918	0.27188	0.54799	0.051682	0.068361	0.051105	0.052996	0.080336	0.77054	0.5259	0.88858	0.077586	0.2338	0.05909	0.070393	0.52942	0.097753	0.042184	0.034996	0.64616	0.12313	0.052521	0.85352	0.14454	0.52276	0.052313	0.051586
Meth__cg12188860__TOP1MT	0.03888	0.8915	0.31038	0.22458	0.25071	0.052525	0.14131	0.04558	0.68665	0.38254	0.34455	0.045873	0.037389	0.19687	0.031049	0.35025	0.16217	0.42764	0.48116	0.3984	0.94101	0.16584	0.38123	0.083369	0.0391	0.1427	0.050066	0.96509	0.54433	0.041261	0.12796	0.95245	0.13675	0.049469
Meth__cg21644826__ACSM3	0.072695	0.10126	0.12465	0.10838	0.66787	0.75651	0.057825	0.21178	0.079684	0.17536	0.57897	0.082363	0.066626	0.12187	0.13297	0.054568	0.075121	0.081656	0.094196	0.075029	0.054169	0.10104	0.11498	0.071699	0.076874	0.15137	0.12229	0.057076	0.051201	0.08635	0.23477	0.083952	0.13552	0.11199
Meth__cg18943195__RAB11FIP5	0.1874	0.067181	0.020551	0.024068	0.41618	0.11835	0.028494	0.016384	0.032706	0.030945	0.10912	0.020444	0.021096	0.027896	0.017624	0.61738	0.46078	0.037064	0.23412	0.083374	0.022619	0.037244	0.035886	0.22778	0.020968	0.018425	0.040146	0.016065	0.021008	0.0182	0.045075	0.31379	0.017668	0.016324
Meth__cg20931907__LOC340602	0.17287	0.91524	0.2503	0.927	0.96729	0.56024	0.37128	0.87518	0.80924	0.093101	0.41487	0.32491	0.87743	0.084626	0.03864	0.65959	0.46881	0.5609	0.06594	0.85336	0.17426	0.03031	0.79872	0.085845	0.64467	0.041988	0.018789	0.95779	0.036182	0.94606	0.073337	0.78237	0.34536	0.52764
Meth__cg22037648__SEMA3B	0.34807	0.80724	0.95901	0.063419	0.22183	0.02083	0.2835	0.97357	0.90249	0.87813	0.019879	0.81041	0.17492	0.066753	0.092472	0.9709	0.96504	0.49346	0.9634	0.097043	0.80506	0.040685	0.77674	0.84283	0.029692	0.88345	0.036382	0.045821	0.019202	0.26295	0.30583	0.52042	0.054503	0.018216
Meth__cg14062083__KRTAP13-4	0.092754	0.70426	0.31269	0.51225	0.84213	0.75146	0.088055	0.74122	0.56026	0.136	0.56849	0.26425	0.14473	0.1518	0.10203	0.08579	0.11592	0.45137	0.11709	0.63552	0.10766	0.15894	0.51998	0.11364	0.060177	0.76776	0.12698	0.63534	0.061087	0.1173	0.086162	0.093449	0.16195	0.27739
Meth__cg18489434__VASH1	0.062511	0.03072	0.04804	0.91829	0.017826	0.020009	0.019703	0.025068	0.023749	0.8641	0.013975	0.018211	0.010102	0.06052	0.019013	0.9583	0.64823	0.01994	0.021631	0.024404	0.26311	0.050081	0.93095	0.03111	0.014456	0.017027	0.011484	0.030802	0.42075	0.30975	0.042539	0.017709	0.03902	0.02921
Meth__cg07177852__CCDC68	0.06777	0.77318	0.73384	0.41893	0.87147	0.048037	0.056738	0.78421	0.094676	0.604	0.14336	0.83558	0.45333	0.30857	0.60082	0.059812	0.064478	0.34119	0.1431	0.047962	0.79122	0.13209	0.78365	0.071694	0.44013	0.034291	0.50008	0.81787	0.64309	0.76648	0.58195	0.046742	0.55808	0.66778
Meth__cg18731813__ARMCX1	0.10313	0.89837	0.69977	0.61861	0.92446	0.088089	0.10519	0.93067	0.78371	0.89634	0.071843	0.85411	0.52553	0.1066	0.11544	0.067737	0.059172	0.49528	0.061263	0.44568	0.70909	0.10798	0.73691	0.22448	0.72694	0.11089	0.33186	0.91726	0.063602	0.78849	0.12977	0.70974	0.38753	0.90103
Meth__cg02617361__FNTA	0.02735	0.025022	0.019686	0.031247	0.017717	0.021093	0.024369	0.020488	0.025255	0.065046	0.025827	0.025102	0.016867	0.098689	0.015402	0.023364	0.05233	0.03099	0.023703	0.018587	0.026769	0.074407	0.036503	0.05471	0.019758	0.017016	0.025599	0.017835	0.025997	0.019335	0.10486	0.030664	0.023844	0.02108
Meth__cg14900471__GATA4	0.043478	0.04867	0.96331	0.51893	0.97572	0.046011	0.048386	0.66624	0.93777	0.913	0.063614	0.56293	0.16459	0.10229	0.19708	0.97727	0.97043	0.96964	0.8262	0.97841	0.91823	0.076553	0.13263	0.12066	0.055234	0.58156	0.30173	0.041103	0.084255	0.76386	0.90974	0.97187	0.74347	0.78676
Meth__cg18464137__SEMA3E	0.048329	0.063129	0.41587	0.075795	0.92134	0.93607	0.059945	0.68551	0.08511	0.20054	0.76897	0.41663	0.12655	0.095691	0.41402	0.042386	0.060107	0.89713	0.10551	0.055545	0.084117	0.10128	0.9103	0.080617	0.32658	0.8323	0.11383	0.53144	0.048881	0.16718	0.089109	0.080666	0.065782	0.066252
Meth__cg03633120__NDUFA7	0.060585	0.14585	0.062986	0.10539	0.19673	0.058039	0.19765	0.048073	0.8122	0.15784	0.074731	0.045183	0.051691	0.087105	0.034592	0.057598	0.060673	0.13813	0.43389	0.13181	0.1399	0.1218	0.11951	0.078664	0.040742	0.041653	0.038943	0.051199	0.081613	0.045002	0.15084	0.18537	0.061697	0.049727
Meth__cg00653387__PTN	0.045683	0.79197	0.72814	0.91778	0.88911	0.27854	0.053831	0.79862	0.11823	0.29949	0.28004	0.64109	0.15572	0.16559	0.089287	0.15578	0.31242	0.18561	0.090687	0.69463	0.42605	0.038647	0.85302	0.076012	0.09352	0.42925	0.28177	0.8883	0.40604	0.27582	0.15375	0.058323	0.087615	0.35434
Meth__cg13043509__GIMAP5	0.020276	0.77423	0.15434	0.58642	0.5064	0.92601	0.67303	0.93038	0.32281	0.67326	0.73466	0.87493	0.91521	0.19976	0.026992	0.56925	0.34928	0.92785	0.044946	0.76403	0.090788	0.053406	0.28039	0.034524	0.023248	0.38193	0.033053	0.90633	0.042787	0.32209	0.07185	0.50926	0.58894	0.45356
